wuu,yue,count
绪,绪,1
屋,屋,4
里,狗,1
-,窦,1
向,咁,1
乱,乱,1
七,-,1
八,-,1
糟,我,1
也,都,3
呒,-,3
没,顶,1
问,得,1
题,-,1
个,顺,1
但,但,2
龌,污,1
龊,糟,1
闲,-,2
话,话,4
是,就,1
勿,-,6
能,-,4
够,-,1
接,接,1
受,受,1
个,到,2
像,佢,1
事,事,2
体,-,2
依,都,1
靠,靠,1
-,晒,1
-,个,3
公,公,2
坐,坐,1
了,喺,1
角,角,1
落,落,3
里,-,7
个,头,1
男,男,2
啥,边,2
人,个,3
-,㗎,3
谢,唔,1
谢,该,1
拿,你,2
搿,将,1
故,故,1
从,由,1
头,头,2
到,到,2
底,尾,1
讲,讲,12
拨,晒,1
-,俾,3
拉,地,1
听,听,2
-,你,4
-,可,4
可,可,6
以,以,7
去,去,6
定,定,1
要,要,8
考,-,1
虑,谂,1
清,清,1
爽,楚,1
想,想,7
哪,啲,1
样,点,1
工,工,1
作,-,2
放,放,1
假,假,1
打,-,2
算,-,1
到,-,1
啊,谂,1
里,住,1
耷,-,2
白,边,1
相,度,1
-,玩,2
呢,呀,1
-,佢,5
伊,将,1
拿,个,1
一,切,1
劈,开,1
两,两,2
-,分,1
搿,-,2
些,呢,1
树,树,2
种,种,2
瑞,瑞,1
士,士,1
大,-,2
数,数,1
会,识,3
语,语,2
房,-,2
间,间,2
是,房,1
禁,唔,1
止,俾,1
吃,食,3
香,-,1
烟,烟,1
走,行,2
路,路,3
搭,度,4
老,-,2
痛,痛,1
-,好,2
-,犀,1
-,利,1
弹,弹,3
钢,-,2
琴,琴,3
还,仲,1
吉,结,1
他,他,1
-,添,1
得,唔,2
-,识,4
伐,㗎,2
想,谂,2
花,用,1
个,粒,1
钟,钟,1
才,先,1
好,-,2
挪,至,1
工,-,1
作,做,1
做,得,1
光,晒,1
-,嘢,2
-,真,1
T,T,2
a,a,4
t,t,2
o,o,2
e,e,2
b,b,2
写,写,2
交,好,2
关,多,2
交,多,1
关,句,1
句,句,3
子,子,2
有,有,10
别,第,1
个,二,1
事,啲,1
体,嘢,1
还,都,1
等,等,1
决,话,1
定,事,1
伐,啦,1
圣,圣,1
诞,诞,1
节,节,1
到,就,1
快,快,3
-,到,1
生,生,1
意,意,2
好,好,7
点,啲,1
榔,-,1
头,包,1
剪,剪,1
刀,-,1
纸,-,1
头,𢱕,1
帮,同,1
再,拜,2
会,拜,2
了,喇,5
-,话,1
对,时,1
个,话,1
桩,啲,1
事,嘢,2
个,啲,1
亭,亭,1
少,少,2
了,到,2
-,妈,1
可,都,1
怜,唔,1
-,认,1
今,今,1
朝,日,1
-,使,1
要,使,1
留,留,2
拉,喺,2
向,企,3
告,-,1
诉,话,3
-,知,1
错,错,1
拉,边,1
阿,呀,1
搭,-,3
伐,-,4
-,套,1
电,戏,1
影,好,1
啥,有,1
个,咩,1
水,生,1
红,红,1
颜,-,2
色,色,2
是,你,2
哪,点,3
认,识,1
得,佢,1
-,嗰,6
个,阵,2
常,成,2
常,日,2
拿,插,1
一,-,1
手,手,1
插,落,1
拉,个,1
裤,裤,2
袋,袋,1
里,度,1
色,-,1
开,开,2
始,始,1
暗,黑,1
麻,啰,1
烦,喎,1
-,该,3
帮,帮,2
-,盏,1
灯,灯,1
住,住,2
子,俾,1
被,人,1
拆,拆,1
-,喇,3
堂,校,2
女,女,1
小,仔,2
人,多,1
比,过,1
人,-,1
多,-,1
每,朝,1
天,朝,1
早,早,1
向,都,1
喝,饮,1
杯,杯,1
水,水,1
海,-,2
三,-,1
十,卅,1
告,你,2
-,听,3
以,之,1
后,后,1
晓,知,1
得,呢,2
份,份,1
文,文,4
件,件,1
多,几,2
少,咁,1
重,紧,1
-,我,3
阿,阿,2
姆,-,1
妈,妈,2
辰,阵,1
光,仲,1
比,后,1
我,生,1
还,过,1
要,我,1
年,-,1
轻,-,1
打,打,2
电,机,1
动,-,1
小,女,1
姑,仔,1
娘,-,1
婚,婚,1
再,再,1
我,俾,1
一,啲,1
点,-,2
咖,咖,1
啡,啡,1
-,呢,1
搿,间,1
间,细,1
太,得,1
小,济,1
装,装,1
牢,落,1
十,十,3
中,中,2
国,国,2
亚,亚,1
洲,洲,1
家,家,1
用,使,1
怕,惊,1
伤,伤,1
害,害,1
垃,佢,1
海,喺,1
参,参,1
加,加,1
活,活,1
动,动,1
礼,-,1
拜,-,1
天,星,1
下,-,2
半,期,1
-,晏,1
-,昼,1
看,探,1
收,执,1
物,晒,1
了,未,1
喏,睇,1
伊,吓,1
拿,-,2
表,-,1
修,整,1
理,-,1
了,只,1
-,表,1
当,因,1
心,住,1
扒,人,1
手,挞,1
台,张,1
子,枱,1
个,张,1
样,样,1
请,你,1
侬,话,1
名,名,1
字,-,1
号,号,1
头,码,1
告,俾,1
诉,-,1
实,实,2
其,其,1
来,街,1
继,继,1
续,续,1
白,玩,1
相,唔,3
吵,嘈,1
别,-,1
可,得,1
以,喇,1
哀,-,2
是,-,1
声,声,1
音,嚟,1
牙,牙,2
医,医,1
-,掹,1
拿,只,1
拔,-,1
脱,佢,1
请,该,1
场,场,1
房,间,1
子,屋,1
里,入,1
向,面,1
少,多,1
猫,猫,1
-,呀,2
脱,得,1
-,还,1
拿,返,1
-,本,1
书,书,6
还,-,2
拨,俾,2
图,图,1
馆,馆,1
箇,嗰,1
本,本,2
簿,簿,1
边,一,1
-,路,1
物,嘢,1
事,一,1
边,路,1
言,嘢,1
话,-,5
信,信,4
伊,阿,2
个,爸,1
娘,妈,2
个,本,2
海,边,2
阿,-,2
了,得,2
忒,太,1
勿,明,1
懂,你,1
慢,慢,1
一,少,1
眼,少,1
也,又,2
对,对,2
没,无,2
别,别,1
做,发,1
梦,梦,1
到,过,1
搿,度,1
踫,撞,1
着,到,1
个,你,1
年,后,1
轻,生,1
棒,棒,1
-,揸,1
开,电,1
摩,-,1
托,单,1
车,车,2
戴,戴,1
盔,盔,1
是,好,1
危,危,1
险,险,1
海,阿,1
爸,爸,1
爸,阿,1
妈,-,1
扫,执,1
干,干,1
净,净,1
-,屋,1
-,棵,1
书,树,1
高,度,1
-,跌,1
头,咗,1
挪,将,1
-,道,1
门,门,1
涂,油,1
成,咗,1
了,做,1
绿,绿,1
如,如,1
言,-,1
踏,踩,1
脚,单,1
踏,-,1
买,买,1
司,士,1
匹,匹,1
林,灵,1
看,吓,1
得,到,1
整,成,1
嘴,口,1
巴,-,1
了,系,1
侬,识,2
-,讲,2
利,利,1
讲,-,2
得,㗎,2
棵,棵,1
倒,冧,1
了,塞,1
拿,住,1
砬,-,1
断,-,1
拿,撕,1
-,烂,1
裁,-,1
上,上,1
床,床,1
啦,啦,1
勿,未,1
来,得,1
自,住,1
啊,呀,1
翻,翻,1
翻,译,1
-,多,1
几,几,1
-,先,1
哦,呀,1
英,英,2
永,千,1
远,-,1
勿,祈,1
关,得,1
-,熄,1
-,死,1
滚,开,2
蛋,-,1
开,揸,1
太,太,1
怨,厌,1
煞,喇,1
问,问,2
题,题,1
-,随,1
就,便,1
唻,-,1
悉,雪,2
尼,梨,2
离,离,2
箇,呢,2
墶,度,2
从,-,1
呒,冇,1
没,见,1
看,-,2
牛,牛,1
仔,仔,1
京,京,1
都,都,1
神,神,1
社,社,1
-,阵,1
当,时,1
辰,唔,1
该,点,1
哪,做,1
能,先,1
办,好,1
-,躝,1
蛋,啦,1
母,母,1
法,法,1
国,文,1
拉,拉,1
小,小,1
提,提,1
男,-,1
讲,话,1
上,-,1
起,同,1
像,我,1
阿,老,1
拉,豆,1
爸,好,1
爸,似,1
-,样,1
-,度,1
海,帮,1
浇,紧,1
花,花,1
-,淋,1
-,水,1
静,静,1
一,D,1
好,啦,1
魔,魔,1
法,术,1
哪,搞,1
恁,咩,1
勒,呀,1
啦,你,1
阿,边,1
里,本,1
簿,-,1
侬,㗎,1
额,-,1
-,梦,1
-,条,1
钥,锁,1
匙,匙,1
孛,-,1
来,啦,1
鼠,鼠,1
死,生,1
还,定,1
活,死,1
个,架,1
能,呀,1
谢,-,2
噢,唔,1
习,-,1
国,-,1
言,文,3
悉,悉,1
尼,尼,1
澳,澳,1
利,-,1
亚,洲,1
城,城,1
市,市,1
世,世,2
界,界,2
哴,-,2
向,上,2
超,超,2
八,八,2
万,万,2
巴,巴,2
斯,斯,2
克,克,2
比,-,1
我,你,1
高,高,2
-,过,1
好,你,1
为,点,1
啥,解,1
拉,爸,1
期,期,1
望,望,1
覅,唔,1
隑,好,1
了,挨,1
-,埋,1
-,埲,1
墙,墙,1
头,度,1
