cmn,wen,count
四的,四个,1
林从,林缩,1
从地,缩地,1
地球,地球,1
球上,球上,1
上消,上消,1
消失,消失,1
该学,该学,1
学习,学习,2
习控,习控,1
控制,控制,1
制自,制你,1
自己,你己,1
己的,己个,1
的情,个脾,1
情绪,脾气,1
子乱,宕乱,1
乱七,乱七,1
七八,七八,1
八糟,八糟,1
糟也,糟也,1
也没,也冇,1
没问,冇问,1
问题,问题,2
题但,题但,1
但是,但是,1
是肮,是鏖,1
肮脏,鏖糟,1
脏的,糟个,1
的话,个话,1
话我,话我,1
我-,我l,1
-接,le,1
接受,ei,1
受不,i否,1
不了,否落,1
她什,渠何,1
么事,乜事,1
事也,事干,1
也-,干沃,1
-依,沃靠,1
依赖,靠渠,1
赖老,渠老,1
老公,老公,1
坐在,坐居,1
在角,居角,1
角落,角落,1
落的,落里,1
的那,里个,1
那-,个许,1
-个,许个,1
个男,个男,1
男人,男个,2
人是,个是,2
--,乜人,2
-谁,人啊,2
请你,请你,3
你把,你逮,2
把故,逮故,1
故事,故事,1
事从,事从,1
从头,从头,1
头到,头到,1
到尾,到尾,1
尾给,尾匄,1
给-,匄卬,1
们说,-讲,1
说一,讲一,1
一遍,一遍,1
你可,你可,4
可以,可以,7
以带,以带,1
带我,带我,1
我-,我走,1
-去,走去,1
去吗,去伐,1
你一,你一,1
一定,一定,1
定要,定着,1
要考,着考,1
考虑,考虑,1
虑-,虑灵,1
-清,灵清,1
清楚,清-,1
楚你,-你,1
你-,你己,1
-想,己想,1
想做,想做,1
做怎,做狃,1
怎么,狃能,1
么样,能色,1
样的,色个,1
的工,个工,1
工作,工作,2
你放,你放,1
放假,放假,1
假打,假打,1
算去,算走,1
去什,走-,1
什么,-狃,1
么地,狃宕,1
地方,宕-,1
方玩,-嬉,1
玩呢,嬉-,1
她把,渠逮,1
把苹,逮苹,1
果切,果切,1
切成,切成,1
成了,成-,2
了两,-两,1
两-,两对,1
-半,对半,1
些树,厘树,1
树是,树是,1
是他,是渠,1
他们,渠厘,1
们种,厘种,1
种-,种起,1
-的,起个,1
瑞士,瑞士,1
士人,士人,1
人大,人大,1
大-,大部,1
-多,部分,1
多能,分会,1
能说,会讲,1
说三,讲三,1
三四,三四,1
四种,四种,1
种语,种话,1
语言,话-,1
这房,个房,1
房间,房间,2
间是,间是,1
是禁,是禁,1
禁止,禁止,1
止吸,止吃,1
吸-,吃香,1
-烟,香烟,1
烟的,烟个,1
我一,我一,2
一走,一走,1
走路,走路,1
路-,路居,1
-这,居宕,1
这里,宕哩,1
里就,哩就,1
就很,就会,1
很痛,会痛,1
她除,渠除,1
除了,除了,1
了懂,了-,1
懂得,-会,2
得弹,会弹,2
弹钢,弹钢,2
钢琴,钢琴,2
琴还,琴还,1
还懂,还-,1
弹吉,弹吉,1
吉他,吉他,1
她会,渠会,1
会弹,会弹,1
琴吗,琴啊,1
我想,我想,4
想他,想他,1
他得,他着,1
得花,着-,1
花两,-两,1
两个,两个,1
个小,个小,1
小时,小时,1
时才,时-,1
才能,--,1
能把,--,1
把工,-工,1
作-,作新,1
--,新会,1
-做,会做,1
做完,做好,1
我真,我真,1
真想,真想,1
想在,想缩,1
在T,缩T,2
Ta,Ta,2
at,at,2
to,to,2
oe,oe,2
eb,eb,2
ba,ba,2
a-,a上,1
-写,上写,1
写很,写-,1
很多,-多,1
多很,多显,1
很多,显多,2
多的,多个,1
的句,个句,1
句子,句子,2
子不,子可,1
不过,可惜,1
过我,惜我,1
我-,我还,1
-有,还有,1
有别,有别,1
别的,别样,1
的事,样事,1
事-,事个,1
-要,个着,1
要做,着做,1
们还,-还,1
还是,还是,2
是让,是匄,1
让老,匄老,1
老师,老师,1
师决,师决,1
决定,决定,1
定吧,定-,1
圣诞,圣诞,1
诞节,诞节,1
节快,节快,1
快到,快到,1
到了,到罢,1
了生,罢生,1
生意,生意,1
意也,意也,1
也好,也好,3
好-,好厘,1
-了,厘了,1
了点,了-,1
-剪,铰剪,1
剪刀,剪-,1
刀石,-石,1
石头,石头,1
头布,头布,1
我要,我着,1
要和,着伉,1
和你,伉你,1
你说,你讲,2
说再,讲再,1
再见,再见,1
见了,见爻,1
对了,对爻,1
了我,爻我,2
我有,我有,1
有一,有-,1
一件,-件,1
件事,件事,1
事要,事个,1
要告,个伉,1
告诉,伉-,5
诉你,-你,1
你-,你讲,1
--,居宕,2
-这,宕边,1
这里,边-,1
里附,--,1
附近,-埏,1
近的,埏个,1
的电,个电,1
电话,电话,2
话亭,话亭,1
亭少,亭少,1
少得,少显,1
得可,显少,1
可怜,少-,1
姆今,姆该,1
今天,该日,1
天要,日着,1
要留,着缩,1
留在,缩-,1
在家,-屋,2
家中,屋里,2
中吗,里啊,1
以告,以伉,1
诉我,-我,3
我-,我讲,4
-我,讲我,1
我错,我狃,1
错在,狃宕,1
在哪,宕赚,1
哪儿,赚爻,1
儿吗,爻罢,1
电影,电影,1
影好,影好,1
看吗,眙伐,1
么水,乜水,1
水果,水果,1
果是,果是,1
是红,是红,1
红色,红-,1
色的,-个,1
你是,你是,1
是怎,是訾,1
么认,那认,1
认识,认识,1
识她,识渠,1
她的,渠个,2
他走,渠走,1
走路,走能,1
路时,能届,1
时-,届沃,1
-常,沃清,1
常常,清清,1
常把,清能,1
把-,能逮,1
-一,逮一,1
一只,一只,1
只手,只手,1
手插,手插,1
插在,插-,1
在裤,-裤,1
裤袋,裤兜,1
袋里,兜里,1
天色,天-,1
色开,-开,1
开始,开始,1
始暗,始暗,1
暗-,暗爻,1
-了,爻罢,2
了麻,罢麻,1
麻烦,麻烦,1
烦你,烦你,1
你帮,你逮,1
帮我,逮我,1
我-,我灯,1
-开,灯开,1
开-,开一,1
-灯,一开,1
们以,-以,1
以前,以早,1
前住,早住,1
住的,住个,1
的房,个屋,1
子-,宕匄,1
-被,匄渠,1
被拆,渠拆,1
拆-,拆爻,1
-毁,爻罢,1
毁了,罢-,1
这间,居间,1
间学,间学,1
学校,学堂,2
校女,堂奶,1
女孩,奶儿,1
孩-,儿娒,2
-比,娒比,1
比男,比男,1
男孩,男儿,1
-多,娒多,1
他每,渠每,1
每-,每日,1
-天,日天,1
天早,天光,1
早上,光-,1
上都,-沃,1
都会,沃会,1
会喝,会呷,1
喝一,呷一,1
一杯,一杯,1
杯水,杯水,1
我在,我-,1
在这,-缩,2
这里,缩居,2
里-,居宕,3
-住,宕住,1
住了,住-,1
了三,-三,1
三十,三十,1
十年,十年,1
年-,年爻,1
你告,你伉,2
诉了,--,1
了我,-我,1
--,讲爻,1
-以,爻以,1
以后,以后,1
后我,后我,1
道这,得居,1
这份,居份,1
份文,份文,1
文件,文件,1
件有,件恁,1
有多,恁-,1
多重,-重,1
重要,重要,1
我母,我阿,1
母亲,阿妈,1
亲-,妈许,1
-那,许能,1
那时,能届,1
时比,届比,1
比我,比我,2
我还,我还,2
还要,还-,1
要年,-年,1
年轻,年轻,2
想和,想伉,1
和一,伉一,1
个喜,个喜,1
欢打,欢打,1
打电,打电,1
电动,电动,1
动的,动个,1
的女,个女,1
女孩,女个,1
孩结,个结,1
结婚,结婚,1
以再,以再,1
再给,再匄,1
给我,匄我,1
一点,一厘,2
点咖,厘咖,1
咖啡,咖啡,1
啡吗,啡啊,1
这房,居房,1
间太,间忒,1
太小,忒小,1
小了,小爻,1
了容,爻坐,1
容纳,坐-,1
纳不,-否,1
不下,否入,1
下五,入五,1
五十,五十,1
十人,十人,1
中国,中国,1
国是,国是,1
是亚,是亚,1
亚洲,亚洲,1
洲最,洲最,1
最大,最大,2
大-,大个,1
-的,个个,1
的国,个国,1
国家,国-,1
不用,覅-,1
用怕,-吓,1
怕他,吓渠,1
他不,渠不,1
不会,不会,1
会伤,会-,1
伤害,-害,1
害你,害你,1
你的,你个,2
她在,渠缩,1
在学,缩学,1
校-,堂里,1
-参,里参,1
加-,加爻,1
-了,爻多,1
了很,多显,1
多-,多个,1
-活,个活,1
活动,活动,1
我星,我星,1
星期,星期,1
期天,期日,1
天下,日后,1
下-,后半,1
-午,半日,1
午三,日三,1
三时,三点,1
时会,点会,1
会-,会走,1
来看,来眙,1
看你,眙你,2
你-,你物,1
-收,物事,1
收拾,事理,1
拾好,理好,1
好东,好罢,1
东西,罢-,1
西了,--,1
了没,-啊,1
没有,啊未,1
看-,眙渠,1
她来,走来,1
来了,来罢,1
他帮,渠帮,1
帮我,帮我,1
我把,我逮,1
把手,逮手,1
表修,表修,1
修理,修-,1
理好,-好,1
好了,好罢,1
这里,-居,1
-要,宕着,1
要小,着留,1
小心,留心,1
心扒,心-,1
扒手,-贼,1
-这,居张,1
这桌,张桌,1
桌子,桌伉,1
子和,伉卬,1
和我,卬你,1
们家,-屋,1
家-,屋宕,1
-的,宕个,1
的一,个一,1
一样,一色,1
样大,色大,1
把你,逮你,1
的名,个名,1
名字,名字,1
字和,字伉,1
和电,伉电,1
话号,话号,1
号码,号码,1
码告,码伉,1
-老,讲老,1
老实,老实,1
实说,实话,1
说我,话我,1
我其,我其,1
其实,其实,1
实想,实想,1
想留,想留,1
留在,留-,1
中-,里个,1
-不,个否,1
不想,否想,1
想-,想走,1
-出,走出,1
出外,出-,1
外的,--,1
们可,-可,1
以继,以接,1
继续,接下,1
续玩,下嬉,1
玩别,嬉覅,1
别吵,覅吵,1
吵到,吵着,1
到别,着别,1
别人,别人,1
人就,人就,1
就行,就用,1
行了,用着,1
那是,许个,1
是什,个何,1
么声,乜声,1
声音,声音,1
音-,音啊,1
该去,该走,1
去看,走眙,1
看牙,眙牙,1
牙医,牙医,1
医把,医逮,1
把牙,逮牙,1
牙拔,牙拔,1
拔掉,拔爻,1
--,讲一,1
--,一讲,1
-机,讲机,1
机场,机场,1
场怎,场訾,1
么去,那走,1
这房,个屋,1
房子,屋-,1
子里,-里,1
里面,里-,1
面有,-有,1
有多,有几,1
多少,几厘,1
少只,厘只,1
只猫,只猫,1
猫-,猫儿,1
了把,爻逮,1
把书,逮书,2
书还,书-,1
还给,-匄,1
给图,匄图,1
图书,图书,1
书馆,书馆,1
馆-,馆里,1
--,里还,1
那本,许本,1
本笔,本笔,1
笔记,笔记,1
记本,记本,1
本是,本是,1
的-,个啊,1
别边,覅边,1
边吃,边吃,1
吃东,吃物,1
东西,物事,1
西边,事边,1
边说,边讲,1
说话,讲话,1
他很,渠很,1
很少,很少,1
少-,少匄,1
--,匄渠,1
--,渠爸,1
--,爸妈,1
-写,妈写,1
写信,写信,1
信给,信-,1
给他,--,1
他的,--,1
的父,--,1
父母,--,1
我的,我个,2
的书,个书,2
书在,书是,2
在哪,是狃,1
哪-,狃宕,1
-里,宕啊,1
说得,讲-,1
得太,-忒,2
太快,忒快,2
快了,快爻,2
我听,我听,1
听不,听否,1
不懂,否懂,1
懂你,懂你,1
以说,以讲,1
说慢,讲慢,1
慢一,慢一,1
点吗,厘伐,1
你相,你相,1
信也,信也,2
好不,好否,1
不相,否相,1
好对,好对,1
对我,对我,1
我来,我-,1
来说,--,1
说没,-冇,1
没有,冇何,1
有什,何乜,1
什么,乜区,1
么分,区-,1
分别,-别,1
我做,我做,1
做梦,做梦,1
梦也,梦也,1
也没,也-,1
没有,--,1
有想,-想,1
想-,想否,1
-过,否到,1
过会,到会,1
会在,会-,1
-碰,宕碰,1
碰到,碰着,1
到你,着你,1
我年,我年,1
轻的,轻能,1
的时,能届,1
时候,届清,1
候常,清清,1
常常,清能,1
常去,能走,1
去打,走打,1
打棒,打棒,1
棒球,棒球,1
开摩,开摩,1
摩托,摩托,1
托车,托车,1
车不,车否,1
不戴,否戴,1
戴头,戴头,1
头盔,头盔,1
盔-,盔危,1
-是,危险,1
是很,险显,1
很危,显危,1
危险,危险,1
险的,险-,1
想在,想-,1
在爸,--,1
爸爸,-爸,1
爸妈,爸-,1
妈妈,-妈,1
妈回,妈走,1
来之,来之,1
前把,前逮,1
把房,逮屋,1
房子,屋里,1
子打,里打,1
打扫,打扫,1
扫干,扫光,1
干净,光生,1
有些,有厘,1
些苹,厘苹,1
果从,果缩,1
从树,缩树,1
树上,树上,1
上掉,上遁,1
掉了,遁落,1
了下,落爻,1
下来,爻罢,1
们把,-逮,1
把门,逮门,1
门涂,门涂,1
涂成,涂成,1
了绿,-绿,1
绿-,绿个,1
-色,个爻,1
如果,当当,1
果不,当能,1
不-,能否,1
-下,否下,1
下雨,下雨,1
雨的,雨-,1
的话,--,1
话你,-你,1
以去,以踏,1
去踏,踏踏,1
踏单,踏脚,1
单车,脚车,1
车-,车走,1
--,走去,1
想买,想买,1
买-,买厘,1
-点,厘儿,1
点阿,儿阿,1
阿司,阿司,1
司匹,司匹,1
匹林,匹林,1
你看,你眙,1
你吃,你吃,1
吃得,吃起,1
得满,起满,1
满嘴,满嘴,1
嘴都,嘴上,1
都-,上沃,1
-是,沃是,1
是了,是-,1
你会,你会,3
会说,会讲,3
说义,讲义,1
义大,义大,1
大利,大利,2
利语,利话,1
语吗,话啊,1
有棵,有座,1
棵树,座树,1
树倒,树倒,1
倒了,倒-,1
了下,-下,1
来把,-逮,1
把路,逮路,1
路堵,路塞,1
堵住,塞爻,1
住了,爻罢,1
他把,渠逮,1
书撕,书剫,1
撕-,剫爻,1
-烂,爻罢,1
烂了,罢-,1
亲爱,亲爱,1
爱的,爱得,1
的上,得走,1
上床,走床,1
床-,床里,1
-吧,里呐,1
吧不,呐未,1
不还,未还,1
还不,还未,1
不行,未呐,1
行我,呐我,1
我在,我缩,1
a上,a上,1
上还,上还,1
还必,还-,1
必须,--,1
须翻,--,1
翻译,--,1
译一,-有,1
一些,有厘,1
些句,厘句,1
子-,子着,1
--,着翻,1
--,翻译,1
说英,讲英,2
英语,英语,1
语吗,语啊,1
个好,个好,1
好人,好人,1
要忘,-悗,1
记-,记逮,1
--,逮火,1
-关,火关,1
关火,关爻,1
走开,走开,1
开-,开来,1
你开,你开,1
开得,开-,1
我看,我眙,1
看电,眙电,1
视看,视-,1
看到,--,1
到厌,-眙,1
厌烦,眙烦,1
烦了,烦起,1
了-,起爻,1
--,爻罢,1
随时,随便,1
时-,便若,1
--,若能,1
--,能届,1
-问,届问,1
问任,问-,1
任何,-何,1
何-,何乜,1
-问,乜问,1
题都,题沃,1
都可,沃可,1
雪梨,雪梨,1
梨-,梨伉,1
--,伉居,1
-离,宕远,1
离这,远显,1
这里,显-,1
里很,--,1
很远,-远,1
我从,我从,1
从来,从来,1
来没,来冇,1
没有,冇-,1
有看,-眙,1
看过,眙过,1
过-,过渠,1
-他,渠着,1
他穿,着-,1
穿牛,-牛,1
牛仔,牛仔,1
仔裤,仔裤,1
京都,京都,1
都有,都有,1
有-,有多,1
-许,多显,1
许多,显多,1
多神,多神,1
神社,神社,1
那时,--,1
时我,-我,1
我-,我许,1
-不,许能,1
不-,能届,1
-知,届否,1
知-,否晓,1
-道,晓得,1
道该,得訾,1
该怎,訾那,1
怎么,那能,1
么办,能妆,1
滚-,滚远,1
--,远哩,1
的母,个母,1
母语,母语,1
语是,语是,1
是法,是法,1
法语,法语,1
那个,--,1
个正,-恰,1
正在,恰是,1
-拉,搭拉,1
拉小,拉小,1
小提,小提,1
提琴,提琴,1
琴-,琴个,1
--,个许,1
-的,许个,1
的男,个男,1
是-,是乜,1
每个,每个,1
个人,个人,1
人都,人沃,1
都说,沃讲,1
说我,讲我,1
我看,我-,1
看起,-眙,1
起来,眙着,1
来像,着伉,1
像我,伉我,1
我爸,我爸,1
爸-,爸相,1
-爸,相像,1
我在,我是,1
在-,是得,1
-浇,得浇,1
浇花,浇花,1
安静,-静,1
静-,静一,1
--,一厘,1
我不,我否,1
是魔,是魔,1
魔法,魔法,1
法师,法师,1
在-,是狃,1
--,狃宕,1
-哪,宕啊,1
你到,你到,1
到底,到底,1
底怎,底訾,1
怎么,訾-,1
么了,-那,1
了啊,那爻,1
哪本,若本,1
本书,本书,1
是您,是你,1
您的,你个,1
要玩,-狡,1
玩钥,狡锁,1
钥匙,锁匙,1
这只,居只,1
只老,只老,1
老鼠,老鼠,1
鼠是,鼠是,1
是死,是死,1
死-,死个,1
-还,个还,1
是活,是活,1
活的,活个,1
再见,再会,1
你们,你厘,3
们好,厘好,1
好吗,好啊,2
英文,英语,1
文吗,语啊,1
谢谢,谢谢,1
们学,厘学,1
习汉,习汉,1
汉语,汉语,1
悉尼,悉尼,2
尼-,尼伉,1
-离,伉居,1
离这,居宕,1
这里,宕死,1
里很,死人,1
很远,人远,1
尼是,尼是,1
是澳,是澳,1
澳大,澳大,1
利亚,利亚,1
亚最,亚最,1
大的,大个,1
的城,个城,1
城市,城市,1
世界,世界,2
界上,界上,2
上有,上有,2
有超,有超,2
超过,超过,2
过八,过八,2
八十,八十,2
十万,十万,2
万的,万个,2
的-,个人,1
--,人用,1
-巴,用巴,1
巴斯,巴斯,2
斯克,斯克,2
克语,克话,2
语使,话-,1
使用,--,1
用者,--,1
人说,人讲,1
说巴,讲巴,1
们比,厘比,1
还高,还高,1
高-,高哩,1
你好,你好,1
们怎,厘訾,1
么就,那就,1
就是,就-,1
是没,-冇,1
没相,冇相,1
信我,信我,1
我呢,我呢,1
-他,渠个,1
他父,个爸,1
母对,妈对,1
对他,对-,1
他怀,--,1
怀有,--,1
有过,--,1
过高,--,1
高的,-渠,1
的期,渠期,1
期望,期望,1
望-,望忒,1
--,忒高,1
别倚,覅靠,1
倚着,靠-,1
着墙,-墙,1
墙-,墙上,1
--,上赖,1
