wen,yue,count
你应该,你应该,3
应该伉,应该同,1
该伉你,该同你,1
伉你-,同你阿,1
你-爸,你阿爸,1
-爸-,阿爸阿,3
爸-妈,爸阿妈,4
-妈谈,阿妈倾,1
妈谈一,妈倾-,1
谈一谈,倾-吓,1
一谈先,-吓先,1
-参加,唔系好,1
参加个,系好多,1
加个人,好多人,1
个人并,多人有,1
人并否,人有嚟,1
并否多,有嚟-,1
我厘个,我哋嘅,1
厘个结,哋嘅结,1
个结论,嘅结论,1
结论就,结论就,1
论就是,论就系,1
就是许,就系-,1
是许个,系-个,1
许个传,-个传,1
个传言,个传言,1
传言是,传言系,1
言是真,言系真,1
是真个,系真嘅,1
汤-姆,阿To,2
-姆-,Tom,1
姆-走,om返,1
-走-,m返咗,1
走-乡,返咗乡,1
-乡下,咗乡下,1
乡下转,乡下-,1
下转哦,下--,1
转哦罢,---,1
居厘-,呢啲古,1
厘-老,啲古老,1
-老个,古老嘅,1
老个习,老嘅习,1
个习俗,嘅习俗,1
习俗沃,习俗-,1
俗沃是,俗-都,1
沃是-,-都系,1
是-一,都系一,1
-一代,系一代,1
一代一,一代一,1
代一代,代一代,1
一代-,一代噉,1
代-传,代噉传,1
-传下,噉传落,1
传下-,传落嚟,1
下-个,落嚟嘅,1
渠着-,佢着咩,1
着-何,着咩都,1
-何乜,咩都咁,1
何乜沃,都咁-,1
乜沃好,咁-靓,1
沃好眙,-靓-,1
-屋宕,啲屋-,1
屋宕一,屋-一,1
宕一间,-一间,1
一间一,一间一,1
间一间,间一间,1
一间-,一间噉,1
间-能,间噉着,1
-能-,噉着咗,1
能-烧,着咗火,1
-烧起,咗火-,1
渠-昨,佢寻日,1
-昨夜,寻日做,1
昨夜妆,日做咩,1
夜妆嚷,做咩唔,1
妆嚷冇,咩唔嚟,1
嚷冇走,唔嚟-,1
冇走来,嚟-嘅,1
渠个间,佢-间,1
个间里,-间房,1
间里除,间房除,1
里除爻,房除-,1
除爻一,除-咗,1
爻一张,-咗张,1
一张桌,咗张枱,1
张桌就,张枱就,1
桌就何,枱就-,1
就何乜,就-咩,1
何乜-,-咩都,1
乜-沃,咩都无,1
-沃冇,都无喇,1
过去三,过咗三,1
去三日,咗三日,1
三日我,三日我,1
日我新,日我先,1
我新晓,我先-,1
新晓得,先-知,1
晓得原,-知原,1
得原来,知原来,1
原来渠,原来佢,1
来渠走,来佢失,1
渠走狃,佢失咗,1
走狃宕,失咗-,1
狃宕罢,咗-踪,1
你若能,你-几,1
若能届,-几时,1
能届走,几时返,1
届走-,时返嚟,1
走-来,返嚟呀,1
你晓得,你识唔,1
晓得-,识唔识,1
得-用,唔识用,1
-用居,识用呢,1
用居台,用呢部,1
居台相,呢部相,1
台相机,部相机,1
相机啊,相机呀,1
机啊伐,机呀-,1
我叫你,我叫你,1
叫你訾,叫你-,1
你訾那,你-点,1
訾那做,-点做,2
那做你,点做你,1
做你就,做你就,1
你就訾,你就-,1
就訾那,就-点,1
渠很喜,佢好锺,1
很喜欢,好锺意,1
喜欢缩,锺意喺,1
欢缩电,意喺电,1
缩电视,喺电视,1
电视上,电视度,1
视上眙,视度睇,1
上眙网,度睇网,1
眙网球,睇网球,1
网球比,网球比,1
球比赛,球比赛,1
许幅画,嗰幅画,1
幅画是,幅画系,1
画是印,画系印,1
是印象,系印象,1
印象派,印象派,1
象派个,象派嘅,1
派个大,派嘅大,1
个大师,嘅大师,1
大师级,大师级,1
师级作,师级作,1
级作品,级作品,1
位于赤,-喺赤,1
于赤道,喺赤道,1
赤道边,赤道附,1
道边埏,道附近,1
边埏一,附近一,1
埏一个,近一个,1
一个狭,一个狭,1
个狭个,个狭窄,1
狭个区,狭窄区,1
个区域,窄区域,1
区域个,区域嘅,1
域个热,域嘅热,1
个热带,嘅热带,2
热带雨,热带雨,2
带雨林,带雨林,2
雨林正,雨林-,1
林正是,林-而,1
正是搭,-而家,1
是搭不,而家不,1
搭不停,家不断,1
不停能,不断咁,1
停能遭,断咁-,1
能遭受,咁-俾,1
遭受人,-俾人,1
受人类,俾人类,1
人类个,人类-,1
类个破,类-破,1
个破坏,-破坏,1
破坏-,破坏紧,1
坏-预,坏紧预,1
-预计,紧预计,1
预计是,预计喺,1
计是二,计喺二,1
是二零,喺二零,1
二零零,二零零,1
零零零,零零零,1
零零年,零零年,1
零年之,零年之,1
年之前,年之前,1
之前-,之前嗰,1
前-居,前嗰个,1
-居区,嗰个区,1
居区域,个区域,1
区域会,区域会,1
域会有,域会有,1
会有五,会有五,1
有五分,有五分,1
五分之,五分之,1
分之四,分之四,1
之四个,之四嘅,1
四个热,四嘅热,1
雨林缩,雨林喺,1
林缩地,林喺地,1
缩地球,喺地球,1
地球上,地球度,1
球上消,球度消,1
上消失,度消失,1
应该学,应该学,1
该学习,该学吓,1
学习控,学吓控,1
习控制,吓控制,1
控制你,控制自,1
制你己,制自己,1
你己个,自己嘅,1
己个脾,己嘅情,1
个脾气,嘅情绪,1
-屋-,啲屋狗,1
屋--,屋狗窦,1
--宕,狗窦咁,1
-宕乱,窦咁乱,1
宕乱七,咁乱-,1
乱七八,乱--,1
七八糟,--我,1
八糟也,-我都,1
糟也冇,我都顶,1
也冇问,都顶得,1
冇问题,顶得顺,1
问题但,得顺但,1
题但是,顺但系,1
但是鏖,但系污,1
是鏖糟,系污糟,1
鏖糟个,污糟嘅,1
糟个话,糟嘅话,1
个话我,嘅话我,1
话我l,话我就,1
我le,我就接,1
lei,就接受,1
ei否,接受唔,1
i否落,受唔到,1
渠何乜,佢-咩,1
何乜事,-咩事,1
乜事干,咩事都,1
事干沃,事都-,1
干沃靠,都-靠,1
沃靠渠,-靠晒,1
靠渠-,靠晒个,1
渠-老,晒个老,1
-老公,个老公,1
坐居角,坐喺角,1
居角落,喺角落,1
角落里,角落-,1
落里个,落-头,1
里个许,-头嗰,1
个许个,头嗰个,1
许个男,嗰个男,1
个男-,个男人,1
男--,男人系,1
---,人系边,1
--个,系边个,1
-个是,边个-,1
个是何,个--,1
是何乜,--嚟,1
何乜人,-嚟-,1
乜人啊,嚟-㗎,2
-请你,唔该你,3
请你逮,该你将,1
你逮-,你将个,1
逮-故,将个故,1
-故事,个故事,1
故事从,故事由,1
事从头,事由头,1
从头到,由头到,1
头到尾,头到尾,1
到尾匄,到尾-,1
尾匄卬,尾--,1
匄卬你,---,1
卬你讲,--讲,1
你讲-,-讲晒,1
讲--,讲晒俾,1
--一,晒俾我,1
-一-,俾我地,1
一-遍,我地听,1
你--,你可唔,3
--可,可唔可,4
-可以,唔可以,4
可以带,可以带,1
以带我,以带我,1
带我走,带我-,1
我走去,我-去,1
走去伐,-去呀,1
你一定,你一定,1
一定着,一定要,1
定着考,定要-,1
着考虑,要-谂,1
考虑灵,-谂-,1
虑灵清,谂-清,1
灵清-,-清楚,1
清-你,清楚你,1
-你己,楚你-,1
你己想,你-想,1
己想做,-想做,1
想做狃,想做啲,1
做狃能,做啲-,1
狃能色,啲--,1
能色个,--点,1
色个-,-点嘅,1
个-工,点嘅工,1
-工作,嘅工-,1
你放假,你放假,1
放假打,放假谂,1
假打算,假谂住,1
打算走,谂住去,1
算走-,住去边,1
走-狃,去边度,1
-狃宕,边度玩,1
狃宕嬉,度玩呀,1
渠逮-,佢将个,1
逮-苹,将个苹,1
-苹果,个苹果,1
苹果切,苹果切,1
果切成,果切开,1
切成-,切开咗,1
成-两,开咗两,1
-两对,咗两-,1
两对半,两-分,1
居厘树,呢啲树,1
厘树是,啲树系,1
树是渠,树系佢,1
是渠厘,系佢哋,1
渠厘种,佢哋种,1
厘种起,哋种-,1
种起个,种-嘅,1
瑞士人,瑞士人,1
士人大,士人多,1
人大部,人多-,1
大部分,多-数,1
部分会,-数识,1
分会讲,数识讲,1
会讲三,识讲三,1
讲三四,讲三四,1
三四种,三四种,1
四种话,四种语,1
种话-,种语言,1
居个房,呢间房,1
个房间,间房-,1
房间是,房-唔,1
间是禁,-唔-,1
是禁止,唔-俾,1
禁止吃,-俾食,1
止吃香,俾食-,1
吃香烟,食-烟,1
香烟个,-烟㗎,1
我一走,我一行,1
一走路,一行路,1
走路居,行路-,1
路居宕,路--,1
居宕哩,--呢,1
宕哩-,-呢度,1
哩-就,呢度就,1
-就会,度就-,1
就会痛,就-痛,1
会痛-,-痛到,1
痛--,痛到好,1
---,到好犀,1
---,好犀利,1
渠除了,佢除咗,1
除了会,除咗识,1
了会弹,咗识弹,1
会弹钢,识弹-,2
弹钢琴,弹-琴,2
钢琴还,-琴仲,1
琴还会,琴仲识,1
还会弹,仲识弹,1
会弹吉,识弹结,1
弹吉他,弹结他,1
吉他-,结他添,1
渠--,佢识唔,1
--会,识唔识,4
-会弹,唔识弹,1
钢琴啊,-琴㗎,1
琴啊伐,琴㗎-,1
我想-,我谂佢,1
想-他,谂佢要,1
-他着,佢要用,1
他着两,要用两,1
着两个,用两-,1
两个小,两-粒,1
个小时,-粒钟,1
小时工,粒钟-,1
时工作,钟-先,1
工作新,-先-,1
作新会,先-至,1
新会做,-至做,1
会做好,至做得,1
做好-,做得晒,1
好--,得晒啲,1
---,晒啲嘢,1
我真-,我真系,1
真--,真系好,1
--想,系好想,1
-想缩,好想喺,1
想缩T,想喺T,1
缩Ta,喺Ta,1
Tat,Tat,2
ato,ato,2
toe,toe,2
oeb,oeb,2
eba,eba,2
ba上,ba-,1
a上写,a-写,1
上写-,-写好,1
写-多,写好多,1
-多显,好多好,1
多显多,多好多,1
显多个,好多句,1
多个句,多句句,1
个句子,句句子,1
句子可,句子但,1
子可惜,子但系,1
可惜我,但系我,1
惜我还,系我-,1
我还有,我-有,1
还有别,-有第,1
有别样,有第二,1
别样事,第二啲,1
样事个,二啲嘢,1
事个着,啲嘢要,1
个着做,嘢要做,1
你-还,我哋都,1
-还-,哋都系,1
还-是,都系等,1
-是匄,系等-,1
是匄老,等-老,1
匄老师,-老师,1
老师决,老师话,1
师决-,师话事,1
决-定,话事啦,1
圣诞节,圣诞节,1
诞节-,诞节就,1
节-快,节就快,1
-快到,就快到,1
快到罢,快到-,1
到罢生,到-生,1
罢生意,-生意,1
生意也,生意都,1
意也好,意都好,1
也好厘,都好咗,1
好厘了,好咗啲,1
铰剪石,包剪-,1
剪石头,剪--,1
石头布,--𢱕,1
我着伉,我要同,1
着伉你,要同你,1
伉你讲,同你讲,1
你讲再,你讲拜,1
讲再见,讲拜拜,1
再见爻,拜拜喇,1
-对爻,话时话,1
对爻我,时话我,1
爻我有,话我有,1
我有-,我有啲,1
有-件,有啲嘢,1
-件事,啲嘢要,1
件事个,嘢要同,1
事个伉,要同-,1
个伉你,同-你,1
伉你讲,-你讲,1
居宕边,呢-度,1
宕边埏,-度附,1
边埏个,度附近,1
埏个-,附近啲,1
个-电,近啲电,1
-电话,啲电话,1
电话亭,电话亭,1
话亭少,话亭少,1
亭少-,亭少到,1
少--,少到阿,1
---,到阿妈,1
---,阿妈都,1
---,妈都唔,1
--显,都唔认,1
-显少,唔认得,1
-姆该,Tom,1
姆该-,om今,1
该-日,m今日,1
-日着,今日使,1
日着-,日使唔,1
着-缩,使唔使,1
-缩-,唔使留,1
缩--,使留喺,1
--屋,留喺屋,1
-屋里,喺屋企,2
屋里啊,屋企呀,1
里啊伐,企呀-,1
可以伉,可以话,1
以伉我,以话我,1
伉我讲,话我知,1
我讲我,我知我,1
讲我狃,知我错,1
我狃宕,我错喺,1
狃宕赚,错喺边,1
宕赚爻,喺边-,1
赚爻罢,边-呀,1
-电影,套戏好,1
电影-,戏好唔,1
影-好,好唔好,1
-好眙,唔好睇,1
好眙伐,好睇呀,1
何乜水,有咩生,1
乜水果,咩生果,1
水果是,生果系,1
果是红,果系红,1
是红个,系红色,1
红个-,红色㗎,1
你是訾,你点-,1
是訾那,点--,1
訾那认,---,1
那认识,--识,1
认识渠,-识佢,1
识渠个,识佢㗎,1
渠走能,佢行-,1
走能届,行-路,1
能届沃,-路嗰,1
届沃清,路嗰-,1
沃清清,嗰-阵,1
清清能,-阵成,1
清能逮,阵成-,1
能逮一,成-日,1
逮一-,-日插,1
一-只,日插只,1
-只手,插只手,1
只手插,只手落,1
手插-,手落个,1
插-裤,落个裤,1
-裤兜,个裤袋,1
裤兜里,裤袋度,1
-天开,个天开,1
天开始,天开始,1
开始暗,开始黑,1
始暗爻,始黑啰,1
暗爻罢,黑啰喎,1
爻罢麻,啰喎唔,1
罢麻烦,喎唔该,1
麻烦你,唔该帮,1
烦你逮,该帮-,1
你逮我,帮-我,1
逮我灯,-我-,1
我灯开,我-开,1
灯开-,-开咗,1
开-一,开咗盏,1
-一开,咗盏灯,1
一开-,盏灯佢,1
开--,灯佢吖,1
你-以,我哋以,1
-以早,哋以前,1
以早住,以前住,1
早住-,前住嗰,1
住-个,住嗰间,1
-个屋,嗰间屋,1
个屋宕,间屋俾,1
屋宕匄,屋俾-,1
宕匄渠,俾-人,1
匄渠拆,-人拆,1
渠拆爻,人拆咗,1
拆爻罢,拆咗喇,1
居间学,呢间学,1
间学堂,间学校,1
学堂奶,学校女,1
堂奶儿,校女仔,1
奶儿娒,女仔-,1
儿娒比,仔-多,1
娒比-,-多过,1
比-男,多过男,1
-男儿,过男仔,1
男儿娒,男仔-,1
儿娒多,仔--,1
渠每日,佢朝朝,1
每日天,朝朝早,1
日天光,朝早都,1
天光沃,早都-,1
光沃会,都-会,1
沃会呷,-会饮,1
会呷一,会饮一,1
呷一杯,饮一杯,1
一杯水,一杯水,1
我-缩,我喺呢,1
-缩居,喺呢度,2
缩居宕,呢度-,2
居宕住,度-住,1
宕住三,-住咗,1
住三十,住咗卅,1
三十年,咗卅年,1
十年爻,卅年-,1
年爻罢,年-喇,1
你--,你话咗,1
--伉,话咗俾,1
-伉我,咗俾我,1
伉我讲,俾我听,2
我讲爻,我听-,1
讲爻以,听-之,1
爻以后,-之后,1
以后我,之后我,1
后我新,后我先,1
我新晓,我先知,1
新晓得,先知呢,1
晓得居,知呢-,1
得居份,呢-份,1
居份文,-份文,1
份文件,份文件,1
文件-,文件有,1
件--,件有几,1
--恁,有几咁,1
-恁重,几咁紧,1
恁重要,咁紧要,1
我阿妈,我阿妈,1
阿妈-,阿妈嗰,1
妈-许,妈嗰阵,1
-许-,嗰阵仲,1
许-能,阵仲后,1
-能届,仲后生,1
能届比,后生过,1
届比我,生过我,1
比我还,过我-,2
我还年,我--,1
还年轻,---,1
我想伉,我想同,1
想伉一,想同一,1
伉一个,同一个,1
一个喜,一个锺,1
个喜欢,个锺意,1
喜欢打,锺意打,1
欢打电,意打机,1
打电动,打机-,1
电动个,机-嘅,1
动个女,-嘅女,1
个女个,嘅女仔,1
女个结,女仔结,1
个结婚,仔结婚,1
可以再,可以再,1
以再匄,以再-,1
再匄我,再-俾,1
匄我一,-俾-,1
我一厘,俾-啲,1
一厘咖,-啲咖,1
厘咖啡,啲咖啡,1
咖啡-,咖啡我,1
啡-啊,啡我呀,1
-啊伐,我呀-,1
-居房,呢间房,1
居房间,间房细,1
房间忒,房细得,1
间忒小,细得济,1
忒小爻,得济喇,1
小爻坐,济喇装,1
爻坐否,喇装唔,1
坐否入,装唔落,1
否入五,唔落五,1
入五十,落五十,1
五十-,五十个,1
十-人,十个人,1
中国是,中国系,1
国是亚,国系亚,1
是亚洲,系亚洲,1
亚洲最,亚洲最,1
洲最大,洲最大,1
最大个,最大-,1
大个个,大-嘅,1
个个国,-嘅国,1
个国-,嘅国家,1
覅-吓,唔使惊,1
-吓渠,使惊佢,1
吓渠不,惊佢唔,1
渠不会,佢唔会,1
不会-,唔会伤,1
会-害,会伤害,1
-害你,伤害你,1
害你个,害你嘅,1
渠缩学,佢喺学,1
缩学堂,喺学校,1
学堂里,学校-,1
堂里参,校-参,1
里参加,-参加,1
参加爻,参加咗,1
加爻多,加咗好,1
爻多显,咗好-,1
多显多,好-多,2
显多个,-多-,1
多个活,多-活,1
个活动,-活动,1
我星期,我星期,1
星期日,星期日,1
期日后,期日-,1
日后半,日-晏,1
后半日,-晏昼,1
半日三,晏昼三,1
日三点,昼三点,1
三点会,三点会,1
点会走,点会-,1
会走来,会-嚟,1
走来眙,-嚟探,1
来眙你,嚟探你,1
你物事,你--,1
物事理,--执,1
事理好,-执好,1
理好罢,执好晒,1
好罢-,好晒啲,1
罢-啊,晒啲嘢,1
-啊未,啲嘢未,1
啊未-,嘢未呀,1
-眙渠,睇吓佢,1
眙渠走,吓佢嚟,1
渠走来,佢嚟咗,1
走来罢,嚟咗喇,1
渠帮我,佢帮我,1
帮我-,帮我整,1
我-逮,我整好,1
-逮-,整好咗,1
逮-手,好咗只,1
-手表,咗只表,1
手表修,只表-,1
表修好,表--,1
修好罢,---,1
居宕着,呢度要,1
宕着-,度要因,1
着-留,要因住,1
-留-,因住俾,1
留-心,住俾人,1
-心贼,俾人挞,1
心贼-,人挞嘢,1
居张桌,呢张枱,1
张桌伉,张枱同,1
桌伉卬,枱同-,1
伉卬你,同-我,1
你-屋,我哋屋,1
-屋-,哋屋企,1
屋-宕,屋企嗰,1
-宕个,企嗰张,1
宕个一,嗰张一,1
个一色,张一样,1
一色大,一样大,1
请你逮,该你话,1
你逮你,你话你,1
逮你个,话你个,1
你个名,你个名,1
个名字,个名同,1
名字伉,名同-,1
字伉电,同-电,1
伉电话,-电话,1
电话号,电话号,1
话号码,话号码,1
号码伉,号码俾,1
码伉我,码俾我,1
我讲-,我听吖,1
讲老实,-老实,1
老实话,老实讲,1
实话我,实讲我,1
话我其,讲我其,1
我其实,我其实,1
其实想,其实想,1
实想留,实想留,1
想留-,想留喺,1
留-屋,留喺屋,1
屋里个,屋企-,1
里个否,企-唔,1
个否想,-唔想,1
否想走,唔想-,1
想走出,想-出,1
走出-,-出街,1
出--,出街㗎,1
你-可,我哋可,1
-可以,哋可以,1
可以接,可以继,1
以接下,以继续,1
接下嬉,继续玩,1
下嬉覅,续玩唔,1
嬉覅-,玩唔好,1
覅-吵,唔好嘈,1
-吵着,好嘈到,1
吵着别,嘈到-,1
着别人,到-人,1
别人就,-人就,1
人就用,人就得,1
就用着,就得喇,1
许个何,---,1
个何乜,--咩,1
何乜声,-咩声,1
乜声音,咩声-,1
声音啊,声-嚟,1
应该走,应该去,1
该走眙,该去睇,1
走眙牙,去睇牙,1
眙牙医,睇牙医,1
牙医逮,牙医掹,1
医逮-,医掹咗,1
逮--,掹咗只,1
--牙,咗只牙,1
-牙拔,只牙-,1
牙拔爻,牙-佢,1
请你伉,该你话,1
你伉我,你话我,1
伉我讲,话我-,1
我讲一,我--,1
讲一讲,--听,1
一讲机,-听机,1
讲机场,听机场,1
机场訾,机场-,1
场訾那,场-点,1
訾那走,-点去,1
那走-,点去吖,1
居个屋,呢间屋,1
个屋-,间屋入,1
屋-里,屋入面,1
-里有,入面有,1
里有几,面有几,1
有几厘,有几多,1
几厘只,几多只,1
厘只猫,多只猫,1
只猫儿,只猫呀,1
记爻-,记得还,1
爻-逮,得还返,1
-逮-,还返本,1
逮-书,返本书,1
-书匄,本书俾,1
书匄图,书俾图,1
匄图书,俾图书,1
图书馆,图书馆,1
书馆里,书馆-,1
馆里还,馆-喎,1
许本笔,嗰本-,1
本笔记,本-簿,1
笔记本,-簿系,1
记本是,簿系边,1
本是何,系边-,1
人个啊,-个㗎,1
覅-边,唔好一,1
-边-,好一路,1
边-吃,一路食,1
-吃物,路食嘢,1
吃物事,食嘢一,1
物事边,嘢一路,1
事边讲,一路讲,1
边讲话,路讲嘢,1
渠很少,佢好少,1
很少-,好少写,1
少-匄,少写信,1
-匄-,写信俾,1
匄-渠,信俾佢,1
-渠-,俾佢阿,1
渠-爸,佢阿爸,1
-妈写,阿妈-,1
妈写信,妈--,1
我个书,我本书,2
个书是,本书-,2
书是狃,书-喺,2
是狃宕,-喺-,2
狃宕啊,喺-边,2
你讲-,你讲得,1
讲-忒,讲得太,1
-忒快,得太快,1
忒快爻,太快喇,2
快爻我,快喇我,1
爻我听,喇我听,1
我听否,我听唔,1
听否懂,听唔明,1
否懂你,唔明你,1
懂你-,明你可,1
可以讲,可以讲,1
以讲慢,以讲慢,1
讲慢一,讲慢少,1
慢一厘,慢少少,1
一厘伐,少少呀,1
你相信,你-信,1
相信也,-信又,2
信也好,信又好,2
也好否,又好唔,1
好否相,好唔-,1
否相信,唔-信,1
也好对,又好对,1
好对我,好对我,1
对我冇,对我嚟,1
我冇-,我嚟讲,1
冇-何,嚟讲无,1
-何乜,讲无咩,1
何乜区,无咩分,1
乜区别,咩分别,1
我做梦,我发梦,1
做梦也,发梦都,1
梦也想,梦都无,1
也想否,都无谂,1
想否到,无谂过,1
否到会,谂过会,1
到会-,过会喺,1
会-缩,会喺呢,1
居宕碰,度-撞,1
宕碰着,-撞到,1
碰着你,撞到你,1
我年-,我后生,1
年--,后生嗰,1
--轻,生嗰阵,1
-轻能,嗰阵成,1
轻能届,阵成日,1
能届清,成日-,1
届清清,日--,1
清清能,---,1
清能走,--去,1
能走打,-去打,1
走打棒,去打棒,1
打棒球,打棒球,1
-开摩,揸电-,1
开摩托,电-单,1
摩托车,-单车,1
托车否,单车唔,1
车否戴,车唔戴,1
否戴头,唔戴头,1
戴头盔,戴头盔,1
头盔-,头盔好,1
盔-危,盔好危,1
-危险,好危险,1
危险显,危险-,1
险显危,险-㗎,1
显危险,-㗎-,1
我想-,我想喺,1
想--,想喺阿,1
--爸,喺阿爸,1
-妈走,阿妈返,1
妈走来,妈返嚟,1
走来之,返嚟之,1
来之前,嚟之前,1
之前逮,之前执,1
前逮-,前执干,1
逮--,执干净,1
---,干净间,1
--屋,净间屋,1
-屋里,间屋-,1
屋里打,屋--,1
里打扫,---,1
打扫光,---,1
扫光生,---,1
有厘苹,有啲苹,1
厘苹果,啲苹果,1
苹果-,苹果喺,1
果-缩,果喺棵,1
-缩树,喺棵树,1
缩树上,棵树度,1
树上遁,树度跌,1
上遁-,度跌咗,1
遁-落,跌咗落,1
-落爻,咗落-,1
落爻罢,落-嚟,1
你--,我哋将,1
--逮,哋将道,1
-逮门,将道门,1
逮门涂,道门油,1
门涂-,门油咗,1
涂-成,油咗做,1
-成绿,咗做绿,1
成绿个,做绿-,1
绿个爻,绿-色,1
当当能,-如果,1
当能否,如果唔,1
能否下,果唔落,1
否下雨,唔落雨,1
下雨-,落雨嘅,1
雨--,雨嘅话,1
--你,嘅话你,1
-你可,话你可,1
你可以,你可以,1
可以踏,可以去,1
以踏踏,以去踩,1
踏踏脚,去踩单,1
踏脚车,踩单车,1
脚车走,单车-,1
车走去,车--,1
我想买,我想买,1
想买厘,想买啲,1
买厘儿,买啲-,1
厘儿阿,啲-阿,1
儿阿司,-阿士,1
阿司匹,阿士匹,1
司匹林,士匹灵,1
你-眙,你睇吓,1
-眙你,睇吓你,1
眙你吃,吓你食,1
你吃起,你食到,1
吃起-,食到成,1
起-满,到成个,1
-满嘴,成个口,1
满嘴上,个口都,1
嘴上沃,口都-,1
上沃是,都-系,1
沃是-,-系喇,1
你--,你识唔,3
-会讲,唔识讲,3
会讲义,识讲意,1
讲义大,讲意大,1
义大利,意大利,1
大利话,大利文,1
利话啊,利文㗎,1
话啊伐,文㗎-,1
有座树,有棵树,1
座树倒,棵树冧,1
树倒下,树冧咗,1
倒下逮,冧咗落,1
下逮路,咗落嚟,1
逮路塞,落嚟塞,1
路塞爻,嚟塞住,1
塞爻-,塞住咗,1
爻-罢,住咗条,1
-罢-,咗条路,1
渠逮书,佢撕烂,1
逮书剫,撕烂咗,1
书剫爻,烂咗本,1
剫爻罢,咗本书,1
亲爱得,老公上,1
爱得走,公上-,1
得走床,上-床,1
走床里,-床-,1
床里呐,床-啦,1
里呐未,-啦未,1
呐未还,啦未得,1
未还未,未得住,1
还未呐,得住呀,1
未呐我,住呀我,1
呐我缩,呀我要,1
我缩-,我要喺,1
缩-T,要喺T,1
-Ta,喺Ta,1
ba上,ba翻,1
a上还,a翻译,1
上还有,翻译多,1
还有-,译多几,1
有-厘,多几句,1
-厘句,几句句,1
厘句子,句句子,1
句子着,句子先,1
子着翻,子先呀,1
着翻译,先呀-,1
会讲英,识讲英,2
讲英语,讲英文,2
英语啊,英文㗎,2
语啊伐,文㗎-,2
渠是个,佢系个,1
是个好,系个好,1
个好人,个好人,1
永远覅,千祈唔,1
远覅-,祈唔好,1
悗记逮,唔记得,1
记逮-,记得熄,1
逮-火,得熄火,1
-火关,熄火-,1
火关爻,火--,1
走开来,死开-,1
你-开,你揸得,1
-开忒,揸得太,1
开忒快,得太快,1
我眙电,我睇电,1
眙电视,睇电视,1
电视眙,电视睇,1
视眙烦,视睇-,1
眙烦起,睇-到,1
烦起爻,-到-,1
起爻罢,到-厌,1
爻罢-,-厌喇,1
随便若,---,1
便若能,--有,1
若能届,-有-,1
能届问,有--,1
届问何,---,1
问何乜,---,1
何乜问,--问,1
乜问题,-问题,1
问题沃,问题随,1
题沃可,题随便,1
沃可以,随便问,1
雪梨伉,雪梨-,1
梨伉居,梨--,1
伉居宕,---,1
居宕远,--离,1
宕远-,-离呢,1
远-显,离呢度,1
-显-,呢度好,1
显-远,度好远,1
-远-,好远㗎,2
远--,远㗎喎,2
我从来,我--,1
从来冇,--冇,1
来冇眙,-冇见,1
冇眙过,冇见过,1
眙过渠,见过佢,1
过渠着,过佢着,1
渠着牛,佢着牛,1
着牛仔,着牛仔,1
牛仔裤,牛仔裤,1
京都有,京都有,1
都有多,都有好,1
有多显,有好-,1
显多神,-多神,1
多神社,多神社,1
我-许,我嗰阵,1
-许能,嗰阵时,1
许能届,阵时唔,1
能届否,时唔知,1
届否晓,唔知点,1
否晓得,知点做,1
晓得訾,点做-,1
得訾那,做-先,1
訾那能,-先好,1
