wuu,yue,count
零零零,零零零,1
零零年,零零年,1
零年之,零年之,1
年之前,年之前,1
之前搿,之前嗰,1
前搿个,前嗰个,1
搿个区,嗰个区,1
个区域,个区域,1
区域-,区域会,1
域-个,域会有,1
-个五,会有五,1
个五分,有五分,1
五分之,五分之,1
分之四,分之四,1
之四个,之四嘅,1
四个热,四嘅热,1
雨林将,雨林-,1
林将会,林--,1
将会得,---,1
会得从,--喺,1
得从地,-喺地,1
从地球,喺地球,1
地球浪,地球度,1
球浪消,球度消,1
浪消失,度消失,1
应该学,应该学,1
该学会,该学吓,1
学会控,学吓控,1
会控制,吓控制,1
控制自,控制自,1
制自家,制自己,1
自家个,自己嘅,1
家个情,己嘅情,1
个情绪,嘅情绪,1
-屋里,啲屋狗,1
屋里-,屋狗窦,1
里-向,狗窦咁,1
-向乱,窦咁乱,1
向乱七,咁乱-,1
乱七八,乱--,1
七八糟,--我,1
八糟也,-我都,1
糟也呒,我都-,1
也呒没,都-顶,1
呒没问,-顶得,1
没问题,顶得-,1
问题个,得-顺,1
题个但,-顺但,1
个但-,顺但系,1
但-龌,但系污,1
-龌龊,系污糟,1
龌龊个,污糟嘅,1
龊个闲,糟嘅-,1
个闲话,嘅-话,1
闲话我,-话我,1
话我是,话我就,1
我是勿,我就-,1
是勿能,就--,1
勿能够,---,1
能够接,--接,1
够接受,-接受,1
接受-,接受唔,1
受-个,受唔到,1
伊像啥,-佢咩,1
像啥事,佢咩事,1
啥事体,咩事-,1
事体侪,事--,1
体侪依,--都,1
侪依靠,-都靠,1
依靠-,都靠晒,1
靠--,靠晒个,1
--老,晒个老,1
-老公,个老公,1
老公个,老公-,1
坐了角,坐喺角,1
了角落,喺角落,1
角落里,角落-,1
落里个,落-头,1
里个哀,-头嗰,1
个哀个,头嗰个,1
哀个男,嗰个男,1
个男人,个男人,1
男人是,男人系,1
人是啥,人系边,2
是啥人,系边个,2
啥人-,边个嚟,2
人--,个嚟㗎,2
谢谢侬,唔该-,1
谢侬拿,该-你,1
侬拿搿,-你将,1
拿搿个,你将个,1
搿个故,将个故,1
个故事,个故事,1
故事从,故事由,1
事从头,事由头,1
从头到,由头到,1
头到底,头到尾,1
到底讲,到尾讲,1
底讲拨,尾讲晒,1
讲拨-,讲晒俾,1
拨-阿,晒俾我,1
-阿拉,俾我地,1
阿拉听,我地听,1
--侬,你可唔,2
-侬可,可唔可,3
侬可以,唔可以,3
可以带,可以带,1
以带我,以带我,1
带我去,带我去,1
我去伐,我去呀,1
侬一定,你一定,1
一定要,一定要,1
定要考,定要-,1
要考虑,要-谂,1
考虑清,-谂清,1
虑清爽,谂清楚,1
清爽侬,清楚你,1
爽侬想,楚你想,1
侬想做,你想做,1
想做哪,想做啲,1
做哪能,做啲-,1
哪能样,啲-点,1
能样个,-点嘅,1
样个工,点嘅工,1
个工作,嘅工-,1
侬放假,你放假,1
放假打,放假-,1
假打算,假--,1
打算到,---,1
算到啊,--谂,1
到啊里,-谂住,1
啊里耷,谂住-,1
里耷去,住-去,1
耷去白,-去边,1
去白相,去边度,1
白相-,边度玩,1
相-呢,度玩呀,1
-伊拿,佢将个,1
伊拿苹,将个苹,1
拿苹果,个苹果,1
苹果一,苹果切,1
果一劈,果切开,1
一劈-,切开咗,1
劈-两,开咗两,1
-两-,咗两分,1
搿些-,-呢啲,1
些-树,呢啲树,1
-树是,啲树系,1
树是伊,树系佢,1
是伊拉,系佢哋,1
伊拉种,佢哋种,1
拉种个,哋种嘅,1
瑞士人,瑞士人,1
士人大,士人-,1
人大多,人-多,1
大多数,-多数,1
多数会,多数识,1
数会得,数识-,1
会得讲,识-讲,1
得讲三,-讲三,1
讲三四,讲三四,1
三四种,三四种,1
四种语,四种语,1
种语言,种语言,1
搿房间,呢-间,1
房间是,-间房,1
间是禁,间房唔,1
是禁止,房唔俾,1
禁止吃,唔俾食,1
止吃香,俾食-,1
吃香烟,食-烟,1
香烟个,-烟㗎,1
我一走,我一行,1
一走路,一行路,1
走路搿,行路呢,1
路搿搭,路呢度,1
搿搭就,呢度就,1
搭就老,度就-,1
就老痛,就-痛,1
老痛个,-痛到,1
痛个-,痛到好,1
个--,到好犀,1
---,好犀利,1
伊除脱,佢除咗,1
除脱懂,除咗识,1
脱懂得,咗识-,1
懂得弹,识-弹,2
得弹钢,-弹-,1
弹钢琴,弹-琴,2
钢琴还,-琴仲,1
琴还懂,琴仲识,1
还懂得,仲识-,1
得弹吉,-弹结,1
弹吉他,弹结他,1
吉他-,结他添,1
伊会得,佢识唔,1
会得-,识唔识,2
得-弹,唔识弹,1
-弹钢,识弹-,1
钢琴伐,-琴㗎,1
我想伊,我谂佢,1
想伊要,谂佢要,1
伊要花,佢要用,1
要花两,要用两,1
花两个,用两粒,1
两个钟,两粒钟,1
个钟头,粒钟-,1
钟头才,钟-先,1
头才好,-先-,1
才好挪,先-至,1
好挪工,-至-,1
挪工作,至-做,1
工作做,-做得,1
作做光,做得晒,1
做光-,得晒啲,1
光--,晒啲嘢,1
我--,我真系,1
--老,真系好,1
-老想,系好想,1
老想拉,好想-,1
想拉垃,想-喺,1
拉垃T,-喺T,2
垃Ta,喺Ta,2
Tat,Tat,2
ato,ato,2
toe,toe,2
oeb,oeb,2
eba,eba,2
ba浪,ba-,2
a浪写,a-写,1
浪写交,-写好,1
写交关,写好多,1
交关-,好多好,1
关-交,多好多,1
-交关,好多句,1
交关句,多句句,1
关句子,句句子,1
句子但,句子但,1
子但是,子但系,1
但是我,但系我,1
是我有,系我有,1
我有别,我有第,1
有别个,有第二,1
别个事,第二啲,1
个事体,二啲嘢,1
事体要,啲嘢要,1
体要做,嘢要做,1
阿拉还,我哋都,1
拉还是,哋都系,1
还是等,都系等,1
是等老,系等老,1
等老师,等老师,1
老师决,老师话,1
师决定,师话事,1
决定伐,话事啦,1
圣诞节,圣诞节,1
诞节到,诞节就,1
节到快,节就快,1
到快-,就快到,1
快-生,快到生,1
-生意,到生意,1
生意也,生意都,1
意也好,意都好,1
也好-,都好咗,1
好-点,好咗啲,1
榔头剪,-包剪,1
头剪刀,包剪-,1
剪刀纸,剪--,1
刀纸头,--𢱕,1
我要帮,我要同,1
要帮侬,要同你,1
帮侬讲,同你讲,1
侬讲再,你讲拜,1
讲再会,讲拜拜,1
再会了,拜拜喇,1
-对个,话时话,1
对个我,时话我,1
个我有,话我有,1
我有桩,我有啲,1
有桩事,有啲嘢,1
桩事体,啲嘢-,1
事体要,嘢-要,1
体要跟,-要同,1
要跟侬,要同你,1
跟侬讲,同你讲,1
搿搭附,呢度附,1
搭附近,度附近,1
附近个,附近啲,1
近个电,近啲电,1
个电话,啲电话,1
电话亭,电话亭,1
话亭少,话亭少,1
亭少了,亭少到,1
少了-,少到阿,1
了--,到阿妈,1
--可,阿妈都,1
-可怜,妈都唔,1
可怜-,都唔认,1
怜--,唔认得,1
姆-今,om今,1
-今朝,m今日,1
今朝-,今日使,1
朝--,日使唔,1
--要,使唔使,1
-要留,唔使留,1
要留拉,使留喺,1
留拉屋,留喺屋,2
拉屋里,喺屋-,2
屋里向,屋-企,3
里向伐,-企呀,1
可以告,可以-,1
以告诉,以-话,1
告诉我,-话我,1
诉我-,话我知,1
我-我,我知我,1
-我错,知我错,1
我错-,我错喺,1
错-拉,错喺边,1
-拉阿,喺边呀,1
拉阿里,边呀-,1
阿里搭,呀--,1
里搭伐,---,1
-电影,套戏好,1
电影-,戏好唔,1
影-好,好唔好,1
-好看,唔好睇,1
好看伐,好睇呀,1
啥个水,有咩生,1
个水果,咩生果,1
水果是,生果系,1
果是红,果系红,1
是红颜,系红-,1
红颜色,红-色,1
颜色个,-色㗎,1
侬是哪,-你点,1
是哪能,你点-,1
哪能认,点-识,1
能认得,-识佢,1
认得伊,识佢-,1
得伊个,佢-㗎,1
伊走路,佢行路,1
走路-,行路嗰,1
路-个,路嗰阵,1
-个辰,嗰阵-,2
个辰光,阵--,2
辰光常,--成,2
光常常,-成日,2
常常拿,成日插,1
常拿一,日插-,1
拿一只,插-只,1
一只手,-只手,1
只手插,只手落,1
手插拉,手落个,1
插拉裤,落个裤,1
拉裤袋,个裤袋,1
裤袋里,裤袋度,1
-天色,个天-,1
天色开,天-开,1
色开始,-开始,1
开始暗,开始黑,1
始暗了,始黑-,1
暗了麻,黑-啰,1
了麻烦,-啰喎,1
麻烦侬,啰喎唔,1
烦侬-,喎唔该,1
侬-帮,唔该帮,1
-帮我,该帮我,1
帮我开,帮我开,1
我开-,我开咗,1
开--,开咗盏,1
--灯,咗盏灯,1
-灯-,盏灯佢,1
灯--,灯佢吖,1
阿拉以,我哋以,1
拉以前,哋以前,1
以前住,以前住,1
前住-,前住嗰,1
住-个,住嗰间,1
-个房,嗰间屋,1
个房子,间屋俾,1
房子被,屋俾人,1
子被拆,俾人拆,1
被拆脱,人拆-,1
拆脱了,拆-咗,1
脱了-,-咗喇,1
搿间学,呢间学,1
间学堂,间学校,1
学堂女,学校女,1
堂女小,校女仔,1
女小人,女仔多,1
小人比,仔多过,1
人比男,多过男,1
比男小,过男仔,1
男小人,男仔-,1
小人多,仔--,1
伊每天,佢朝朝,1
每天早,朝朝早,1
天早浪,朝早-,1
早浪向,早-都,1
浪向侪,-都-,1
向侪会,都-会,1
侪会喝,-会饮,1
会喝一,会饮一,1
喝一杯,饮一杯,1
一杯水,一杯水,1
我垃海,我喺-,1
垃海搿,喺-呢,1
海搿搭,-呢度,1
搿搭住,呢度住,1
搭住了,度住咗,1
住了三,住咗-,1
了三十,咗-卅,1
三十年,-卅年,1
十年了,卅年喇,1
侬告诉,-你话,2
告诉了,你话咗,1
诉了-,话咗俾,1
了-我,咗俾我,1
-我-,俾我听,1
我-以,我听之,1
-以后,听之后,1
以后我,之后我,1
后我侪,后我先,1
我侪晓,我先知,1
侪晓得,先知呢,1
晓得搿,知呢-,1
得搿份,呢-份,1
搿份文,-份文,1
份文件,份文件,1
文件有,文件有,1
件有得,件有-,1
有得多,有-几,1
得多少,-几咁,1
多少重,几咁紧,1
少重要,咁紧要,1
-阿拉,我阿-,1
阿拉姆,阿--,1
拉姆妈,--妈,1
姆妈搿,-妈嗰,1
妈搿辰,妈嗰阵,1
搿辰光,嗰阵仲,1
辰光比,阵仲后,1
光比我,仲后生,1
比我还,后生过,1
我还要,生过我,1
还要年,过我-,1
要年轻,我--,1
我想跟,我想同,1
想跟一,想同一,1
跟一个,同一个,1
一个欢,一个锺,1
个欢喜,个锺意,1
欢喜打,锺意打,1
喜打电,意打机,1
打电动,打机-,1
电动个,机-嘅,1
动个小,-嘅女,1
个小姑,嘅女仔,1
小姑娘,女仔-,1
姑娘结,仔-结,1
娘结婚,-结婚,1
--可,可唔可,1
-可以,唔可以,1
可以再,可以再,1
以再拨,以再-,1
再拨我,再-俾,1
拨我一,-俾啲,1
我一点,俾啲-,1
一点咖,啲-咖,1
点咖啡,-咖啡,1
咖啡-,咖啡我,1
啡-伐,啡我呀,1
-搿房,呢间房,1
搿房间,间房细,1
房间太,房细得,1
间太小,细得济,1
太小了,得济喇,1
小了装,济喇装,1
了装勿,喇装唔,1
装勿牢,装唔落,1
勿牢五,唔落五,1
牢五十,落五十,1
五十个,五十个,1
十个人,十个人,1
中国是,中国系,1
国是亚,国系亚,1
是亚洲,系亚洲,1
亚洲最,亚洲最,1
洲最大,洲最大,1
最大个,最大嘅,2
大个国,大嘅国,1
个国家,嘅国家,1
勿用怕,唔使惊,1
用怕伊,使惊佢,1
怕伊勿,惊佢唔,1
伊勿会,佢唔会,1
勿会伤,唔会伤,1
会伤害,会伤害,1
伤害侬,伤害你,1
害侬个,害你嘅,1
伊垃海,-佢喺,1
垃海学,佢喺学,1
海学堂,喺学校,1
学堂参,学校参,1
堂参加,校参加,1
参加了,参加咗,1
加了交,加咗好,1
了交关,咗好多,1
交关活,好多活,1
关活动,多活动,1
我礼拜,我--,1
礼拜天,--星,1
拜天下,-星-,1
天下半,星-期,1
下半天,-期日,1
半天-,期日晏,1
天--,日晏昼,1
--三,晏昼三,1
-三点,昼三点,1
三点钟,三点-,1
点钟会,点-会,1
钟会来,-会嚟,1
会来看,会嚟探,1
来看侬,嚟探你,1
侬收作,你执-,1
收作好,执-好,1
作好物,-好晒,1
好物-,好晒啲,1
物-事,晒啲嘢,1
-事了,啲嘢未,1
事了伐,嘢未呀,1
喏伊-,睇吓佢,1
伊-来,吓佢嚟,1
-来了,佢嚟咗,1
来了-,嚟咗喇,1
伊帮我,佢帮我,1
帮我拿,帮我-,1
我拿手,我--,1
拿手表,---,1
手表修,--整,1
表修理,-整-,1
修理好,整-好,1
理好-,-好咗,1
好-了,好咗只,1
-了-,咗只表,1
搿搭要,呢度要,1
搭要当,度要因,1
要当心,要因住,1
当心-,因住俾,1
心-扒,住俾人,1
-扒手,俾人挞,1
扒手-,人挞嘢,1
搿台子,呢张枱,1
台子跟,张枱同,1
子跟阿,枱同我,1
跟阿拉,同我哋,1
阿拉屋,我哋屋,1
拉屋里,哋屋-,1
里向-,-企嗰,1
向-个,企嗰张,1
-个一,嗰张一,1
个一样,张一样,1
一样大,一样大,1
--请,唔该你,1
-请侬,该你话,1
请侬拿,你话你,1
侬拿侬,话你-,1
拿侬个,你-个,1
侬个名,-个名,1
个名字,个名-,1
名字跟,名-同,1
字跟电,-同电,1
跟电话,同电话,1
电话号,电话号,1
话号头,话号码,1
号头告,号码俾,1
头告诉,码俾-,1
告诉我,俾-我,1
诉我-,-我听,1
我--,我听吖,1
老实讲,老实讲,1
实讲我,实讲我,1
讲我其,讲我其,1
我其实,我其实,1
其实想,其实想,1
实想留,实想留,1
想留拉,想留喺,1
里向勿,-企唔,1
向勿想,企唔想,1
勿想出,唔想出,1
想出来,想出街,1
出来个,出街㗎,1
阿拉可,我哋可,1
拉可以,哋可以,1
可以继,可以继,1
以继续,以继续,1
继续白,继续玩,1
续白相,续玩唔,1
白相勿,玩唔-,1
相勿要,唔-好,1
勿要吵,-好嘈,1
要吵到,好嘈到,1
吵到别,嘈到-,1
到别人,到-人,1
别人就,-人就,1
人就可,人就得,1
就可以,就得喇,1
可以了,得喇-,1
哀个是,---,1
个是啥,--咩,1
是啥声,-咩声,1
啥声音,咩声嚟,1
应该去,应该去,1
该去看,该去睇,1
去看牙,去睇牙,1
看牙医,睇牙医,1
牙医-,牙医掹,1
医--,医掹咗,1
--拿,掹咗只,1
-拿牙,咗只牙,1
拿牙拔,只牙-,1
牙拔脱,牙-佢,1
-请侬,唔该-,1
请侬告,该-你,1
告诉我,你话我,1
诉我-,话我听,1
我-机,我听机,1
-机场,听机场,1
机场哪,机场点,1
场哪能,场点-,1
哪能去,点-去,1
能去-,-去吖,1
搿房子,呢间屋,1
房子里,间屋入,1
子里向,屋入面,1
里向有,入面有,1
向有多,面有几,1
有多少,有几多,1
多少只,几多只,1
少只猫,多只猫,1
只猫-,只猫呀,1
忘记脱,唔记得,1
记脱-,记得还,1
脱-拿,得还返,1
-拿-,还返本,1
拿-书,返本书,1
-书还,本书-,1
书还拨,书-俾,1
还拨图,-俾图,1
拨图书,俾图书,1
图书馆,图书馆,1
书馆-,书馆喎,1
箇本簿,嗰本簿,1
本簿子,本簿-,1
簿子是,簿-系,1
子是啥,-系-,1
是啥人,系-边,1
人个-,边个㗎,1
勿要边,唔好一,1
要边-,好一路,1
边-吃,一路食,1
-吃物,路食嘢,1
吃物事,食嘢一,1
物事边,嘢一路,1
事边讲,一路讲,1
边讲言,路讲嘢,1
讲言话,讲嘢-,1
伊老少,佢好少,1
老少写,好少写,1
少写信,少写信,1
写信拨,写信俾,1
信拨-,信俾佢,1
拨-伊,俾佢阿,1
-伊个,佢阿爸,1
伊个爷,阿爸阿,1
个爷娘,爸阿妈,1
我个书,我本书,2
个书垃,本书喺,2
书垃海,书喺边,2
垃海阿,喺边-,2
海阿里,边--,2
阿里搭,---,2
侬讲了,你讲得,1
讲了忒,讲得太,1
了忒快,得太快,1
忒快了,太快喇,1
快了我,快喇我,1
了我听,喇我听,1
我听-,我听唔,1
听-勿,听唔明,1
-勿懂,唔明你,1
勿懂-,明你可,1
懂-侬,你可唔,1
可以讲,可以讲,1
以讲慢,以讲慢,1
讲慢一,讲慢少,1
慢一眼,慢少少,1
一眼伐,少少呀,1
侬相信,你-信,1
相信也,-信又,1
信也好,信又好,2
也好勿,又好-,1
好勿相,好-唔,1
勿相信,-唔信,2
相信也,唔信又,1
也好对,又好对,1
好对我,好对我,1
对我来,对我嚟,1
我来讲,我嚟讲,1
来讲呒,嚟讲-,1
讲呒没,讲-无,1
呒没啥,-无咩,1
没啥分,无咩分,1
啥分别,咩分别,1
我做梦,我发梦,1
做梦也,发梦都,1
梦也呒,梦都-,1
也呒没,都-无,1
呒没想,-无谂,1
没想到,无谂过,1
想到会,谂过会,1
到会-,过会喺,1
会-得,会喺呢,1
-得垃,喺呢-,1
得垃搿,呢-度,1
垃搿耷,-度-,1
搿耷踫,度-撞,1
耷踫着,-撞到,1
踫着侬,撞到-,1
着侬个,到-你,1
我年轻,我后生,1
年轻-,后生嗰,1
轻-个,生嗰阵,1
常常去,成日去,1
常去打,日去打,1
去打棒,去打棒,1
打棒球,打棒球,1
-开摩,揸电-,1
开摩托,电-单,1
摩托车,-单车,1
托车勿,单车唔,1
车勿戴,车唔戴,1
勿戴头,唔戴头,1
戴头盔,戴头盔,1
头盔是,头盔好,1
盔是老,盔好-,1
是老危,好-危,1
老危险,-危险,1
危险个,危险㗎,1
我想垃,我想喺,1
想垃海,想喺阿,1
垃海爸,喺阿爸,1
海爸爸,阿爸阿,1
爸爸妈,爸阿-,1
爸妈妈,阿-妈,1
妈妈回,-妈返,1
妈回来,妈返嚟,1
回来之,返嚟之,1
来之前,嚟之前,1
之前拿,之前-,1
前拿房,前--,1
拿房子,---,1
房子打,---,1
子打扫,--执,1
打扫干,-执干,1
扫干净,执干净,1
干净-,干净间,1
净--,净间屋,1
有眼苹,有啲苹,1
眼苹果,啲苹果,1
苹果从,苹果喺,1
果从-,果喺棵,1
从-书,喺棵树,1
-书高,棵树度,1
书高-,树度跌,1
高-头,度跌咗,1
-头落,跌咗落,1
头落了,咗落-,1
落了下,落--,1
了下来,--嚟,1
阿拉挪,我哋将,1
拉挪-,哋将道,1
挪-门,将道门,1
-门涂,道门油,1
门涂成,门油咗,1
涂成了,油咗做,1
成了绿,咗做绿,1
了绿颜,做绿-,1
绿颜色,绿-色,1
如果勿,如果唔,1
果勿落,果唔落,1
勿落雨,唔落雨,1
落雨个,落雨嘅,1
雨个言,雨嘅-,1
个言话,嘅-话,1
言话侬,-话你,1
话侬可,话你可,1
侬可以,你可以,1
可以去,可以去,1
以去踏,以去踩,1
去踏脚,去踩单,1
踏脚踏,踩单-,1
脚踏车,单-车,1
我想买,我想买,1
想买眼,想买啲,1
买眼阿,买啲阿,1
眼阿司,啲阿士,1
阿司匹,阿士匹,1
司匹林,士匹灵,1
侬看看,你睇吓,1
看看侬,睇吓你,1
看侬吃,吓你食,1
侬吃得,你食到,1
吃得来,食到-,1
得来整,到-成,1
来整个,-成个,1
整个嘴,成个口,1
个嘴巴,个口-,1
嘴巴侪,口--,1
巴侪是,--都,1
侪是个,-都-,1
是个了,都-系,1
个了-,-系喇,1
---,你识唔,2
--侬,识唔识,2
-侬-,唔识讲,2
侬-意,识讲意,1
-意大,讲意大,1
意大利,意大利,1
大利文,大利文,1
利文讲,利文-,1
文讲得,文-㗎,2
讲得来,-㗎-,2
得来伐,㗎--,2
有棵树,有棵树,1
棵树倒,棵树冧,1
树倒-,树冧咗,1
倒-下,冧咗落,1
-下来,咗落嚟,1
下来了,落嚟塞,1
来了拿,嚟塞住,1
了拿-,塞住咗,1
拿-条,住咗条,1
-条路,咗条路,1
条路砬,条路-,1
路砬断,路--,1
砬断了,---,1
伊拿-,佢撕烂,1
拿--,撕烂咗,1
--本,烂咗本,1
-本书,咗本书,1
本书裁,本书-,1
书裁脱,书--,1
裁脱了,---,1
老公上,老公上,1
公上床,公上床,1
上床啦,上床啦,1
床啦勿,床啦未,1
啦勿来,啦未得,1
勿来自,未得住,1
来自啊,得住呀,1
自啊我,住呀我,1
啊我还,呀我-,1
我还要,我-要,1
还要拉,-要-,1
要拉垃,要-喺,1
a浪翻,a-翻,1
浪翻翻,-翻译,1
翻翻-,翻译多,1
翻-几,译多几,1
-几句,多几句,1
几句句,几句句,1
句句子,句句子,1
句子-,句子先,1
子-哦,子先呀,1
侬-英,识讲英,1
-英文,讲英文,1
英文讲,英文-,1
伊是个,佢系个,1
是个好,系个好,1
个好人,个好人,1
永远勿,千-祈,1
远勿-,-祈唔,1
勿-要,祈唔好,1
-要忘,唔好唔,1
忘记关,唔记得,1
记关-,记得熄,1
关-火,得熄火,1
-滚蛋,死开-,1
侬开了,你揸得,1
开了太,揸得太,1
了太快,得太快,1
太快了,太快喇,1
我看电,我睇电,1
看电视,睇电视,1
电视看,电视睇,1
视看了,视睇到,1
看了怨,睇到厌,1
了怨煞,到厌喇,1
怨煞了,厌喇-,1
有问题,有问题,1
问题-,问题随,1
题-就,题随便,1
-就问,随便问,1
就问好,便问-,1
问好唻,问--,1
悉尼离,雪梨离,2
尼离箇,梨离呢,2
离箇墶,离呢度,2
