cmn,wuu,count
在电视,-电视,1
电视-,电视浪,1
视-上,视浪向,1
-上看,浪向看,1
上看网,向看网,1
看网球,看网球,1
网球比,网球比,1
球比赛,球比赛,1
比赛-,比赛个,1
那幅画,哀幅画,1
幅画是,幅画是,1
画是印,画是印,1
是印象,是印象,1
印象派,印象派,1
象派的,象派个,1
派的大,派个大,1
的大师,个大师,1
大师级,大师级,1
师级作,师级作,1
级作品,级作-,1
位处赤,拉垃赤,1
处赤道,垃赤道,1
赤道附,赤道附,1
道附近,道附近,1
附近一,附近一,1
近一个,近一个,1
一个-,一个邪,1
个-狭,个邪气,1
-狭窄,邪气笑,1
狭窄-,气笑个,1
窄-区,笑个区,1
-区域,个区域,1
区域的,区域个,1
域的热,域个热,1
的热带,个热带,2
热带雨,热带雨,2
带雨林,带雨林,2
雨林正,雨林-,1
林正在,林--,1
正在不,--勿,1
在不断,-勿停,1
不断地,勿停个,1
断地遭,停个-,1
地遭受,个-受,1
遭受-,-受到,1
受-人,受到人,1
-人类,到人类,1
人类的,人类个,1
类的破,类个破,1
的破坏,个破坏,1
破坏预,破坏预,1
坏预计,坏预计,1
预计在,预计拉,1
计在-,计拉垃,1
在-二,拉垃两,1
-二零,垃两零,1
二零零,两零零,1
零零零,零零零,1
零零年,零零年,1
零年之,零年之,1
年之前,年之前,1
之前-,之前搿,1
前-该,前搿个,1
-该区,搿个区,1
该区域,个区域,1
区域将,区域-,1
域将会,域--,1
将会有,--个,1
会有五,-个五,1
有五分,个五分,1
五分之,五分之,1
分之四,分之四,1
之四的,之四个,1
四的热,四个热,1
雨林-,雨林将,1
林--,林将会,1
---,将会得,1
--从,会得从,1
-从地,得从地,1
从地球,从地球,1
地球上,地球浪,1
球上消,球浪消,1
上消失,浪消失,1
应该学,应该学,1
该学习,该学会,1
学习控,学会控,1
习控制,会控制,1
控制自,控制自,1
制自己,制自家,1
自己的,自家个,1
己的情,家个情,1
的情绪,个情绪,1
房子-,屋里向,1
子-乱,里向乱,1
-乱七,向乱七,1
乱七八,乱七八,1
七八糟,七八糟,1
八糟也,八糟也,1
糟也-,糟也呒,1
也-没,也呒没,2
-没问,呒没问,1
没问题,没问题,1
问题-,问题个,1
题-但,题个但,1
-但是,个但-,1
但是肮,但-龌,1
是肮脏,-龌龊,1
肮脏的,龌龊个,1
脏的-,龊个闲,1
的-话,个闲话,1
-话我,闲话我,1
话我-,话我是,1
我--,我是勿,1
---,是勿能,1
---,勿能够,1
--接,能够接,1
-接受,够接受,1
接受不,接受-,1
受不了,受-个,1
她什么,伊像啥,1
什么事,像啥事,1
么事-,啥事体,1
事-也,事体侪,1
-也依,体侪依,1
也依赖,侪依靠,1
依赖老,依靠老,1
赖老公,靠老公,1
老公-,老公个,1
坐在角,坐了角,1
在角落,了角落,1
角落的,角落里,1
落的那,落里个,1
的那-,里个哀,1
那-个,个哀个,1
-个男,哀个男,1
个男人,个男人,1
男人是,男人是,2
人是谁,人是啥,2
-请你,谢谢侬,1
请你把,谢侬拿,1
你把-,侬拿搿,1
把--,拿搿个,1
--故,搿个故,1
-故事,个故事,1
故事从,故事从,1
事从头,事从头,1
从头到,从头到,1
头到尾,头到底,1
到尾给,到底讲,1
尾给我,底讲-,1
给我们,讲-拨,1
我们说,-拨阿,1
们说一,拨阿拉,1
说一遍,阿拉听,1
你可以,侬可以,4
可以带,可以带,1
以带我,以带我,1
带我去,带我去,1
我去吗,我去伐,1
你一定,侬一定,1
一定要,一定要,1
定要考,定要考,1
要考虑,要考虑,1
考虑清,考虑清,1
虑清楚,虑清爽,1
清楚你,清爽侬,1
楚你想,爽侬想,1
你想做,侬想做,1
想做怎,想做哪,1
做怎么,做哪能,1
怎么样,哪能样,1
么样的,能样个,1
样的工,样个工,1
的工作,个工作,1
你放假,侬放假,1
放假打,放假打,1
假打算,假打算,1
打算去,打算到,1
算去什,算到-,1
去什么,到-啊,1
什么-,-啊里,1
么--,啊里耷,1
--地,里耷去,1
-地方,耷去白,1
地方玩,去白相,1
方玩呢,白相呢,1
她把苹,伊拿苹,1
把苹果,拿苹果,1
苹果切,苹果-,1
果切成,果--,1
切成了,--一,1
成了-,-一劈,1
了-两,一劈两,1
-两半,劈两-,1
这些树,搿些树,1
些树是,些树是,1
树是他,树是伊,1
是他们,是伊拉,1
他们种,伊拉种,1
们种的,拉种个,1
瑞士人,瑞士人,1
士人大,士人大,1
人大多,人大多,1
大多-,大多数,1
多-能,多数会,1
-能-,数会得,1
能-说,会得讲,1
-说三,得讲三,1
说三四,讲三四,1
三四种,三四种,1
四种语,四种语,1
种语言,种语言,1
这房间,搿房间,2
房间是,房间是,1
间是禁,间是禁,1
是禁止,是禁止,1
禁止吸,禁止吃,1
止吸-,止吃香,1
吸-烟,吃香烟,1
-烟的,香烟个,1
我一走,我一走,1
一走路,一走路,1
走路这,走路搿,1
路这里,路搿搭,1
这里就,搿搭就,1
里就很,搭就老,1
就很痛,就老痛,1
很痛-,老痛个,1
她除了,伊除脱,1
除了懂,除脱懂,1
了懂得,脱懂得,1
懂得弹,懂得弹,2
得弹钢,得弹钢,1
弹钢琴,弹钢琴,2
钢琴还,钢琴还,1
琴还懂,琴还懂,1
还懂得,还懂得,1
得弹吉,得弹吉,1
弹吉他,弹吉他,1
她会-,伊会得,1
会-弹,会得弹,1
-弹钢,得弹钢,1
钢琴吗,钢琴伐,1
我想他,我想伊,1
想他得,想伊要,1
他得花,伊要花,1
得花两,要花两,1
花两个,花两个,1
两个小,两个钟,1
个小时,个钟头,1
小时才,钟头才,1
时才能,头才好,1
才能把,才好挪,1
能把工,好挪工,1
把工作,挪工作,1
工作做,工作做,1
作做完,作做光,1
我真想,我老想,1
真想在,老想拉,1
想在-,想拉垃,1
在-T,拉垃T,1
-Ta,垃Ta,2
Tat,Tat,2
ato,ato,2
toe,toe,2
oeb,oeb,2
eba,eba,2
ba-,ba浪,1
a-写,a浪写,1
-写很,浪写-,1
写很多,写-交,1
很多很,-交关,1
多很多,交关交,1
很多的,关交关,1
多的句,交关句,1
的句子,关句子,1
句子不,句子但,1
子不过,子但是,1
不过我,但是我,1
过我有,是我有,1
我有别,我有别,1
有别的,有别个,1
别的事,别个事,1
的事-,个事体,1
事-要,事体要,2
-要做,体要做,1
我们还,阿拉还,1
们还是,拉还是,1
还是让,还是等,1
是让老,是等老,1
让老师,等老师,1
老师决,老师决,1
师决定,师决定,1
决定吧,决定伐,1
圣诞节,圣诞节,1
诞节快,诞节-,1
节快到,节-到,1
快到了,-到快,1
到了生,到快生,1
了生意,快生意,1
生意也,生意也,1
意也好,意也好,1
也好了,也好-,1
好了点,好-点,1
--剪,榔头剪,1
-剪刀,头剪刀,1
剪刀石,剪刀纸,1
刀石头,刀纸头,1
石头布,纸头-,1
我要和,我要帮,1
要和你,要帮侬,1
和你说,帮侬讲,1
你说再,侬讲再,1
说再见,讲再会,1
再见了,再会了,1
对了我,对个我,1
了我有,个我有,1
我有一,我有-,1
有一件,有-桩,1
一件事,-桩事,1
件事-,桩事体,1
-要告,体要跟,1
要告诉,要跟侬,1
告诉你,跟侬讲,1
这里附,搿搭附,1
里附近,搭附近,1
附近的,附近个,1
近的电,近个电,1
的电话,个电话,1
电话亭,电话亭,1
话亭少,话亭少,1
亭少得,亭少了,1
少得可,少了可,1
得可怜,了可怜,1
汤姆今,汤姆今,1
姆今天,姆今朝,1
今天要,今朝要,1
天要留,朝要留,1
要留在,要留拉,1
留在家,留拉屋,2
在家中,拉屋里,2
家中-,屋里向,2
中-吗,里向伐,1
可以告,可以告,1
以告诉,以告诉,1
告诉我,告诉我,3
诉我我,诉我我,1
我我错,我我错,1
我错-,我错拉,1
错--,错拉阿,1
--在,拉阿里,1
-在哪,阿里搭,2
在哪儿,里搭伐,1
哪儿吗,搭伐-,1
电影好,电影好,1
影好看,影好看,1
好看吗,好看伐,1
什么水,啥个水,1
么水果,个水果,1
水果是,水果是,1
果是红,果是红,1
是红-,是红颜,1
红-色,红颜色,1
-色的,颜色个,1
你是怎,侬是哪,1
是怎么,是哪能,1
怎么认,哪能认,1
么认识,能认-,1
认识她,认-得,1
识她-,-得伊,1
她-的,得伊个,1
他走路,伊走路,1
走路时,走路个,1
路时-,路个辰,1
时--,个辰光,1
--常,辰光常,1
-常常,光常常,2
常常把,常常拿,1
常把一,常拿一,1
把一只,拿一只,1
一只手,一只手,1
只手插,只手插,1
手插在,手插拉,1
插在裤,插拉裤,1
在裤袋,拉裤袋,1
裤袋里,裤袋里,1
天色开,天色开,1
色开始,色开始,1
开始暗,开始暗,1
始暗了,始暗了,1
暗了麻,暗了麻,1
了麻烦,了麻烦,1
麻烦你,麻烦侬,1
烦你帮,烦侬帮,1
你帮我,侬帮我,1
帮我开,帮我开,1
我开灯,我开灯,1
我们以,阿拉以,1
们以前,拉以前,1
以前住,以前住,1
前住的,前住个,1
住的房,住个房,1
的房子,个房子,1
房子被,房子被,1
子被拆,子被拆,1
被拆毁,被拆脱,1
拆毁了,拆脱了,1
这间学,搿间学,1
间学校,间学堂,1
学校女,学堂女,1
校女-,堂女小,1
女-孩,女小人,1
-孩比,小人比,1
孩比男,人比男,1
比男-,比男小,1
男-孩,男小人,1
-孩多,小人多,1
他每天,伊每天,1
每天早,每天早,1
天早上,天早浪,1
早上都,早浪向,1
上都-,浪向侪,1
都-会,向侪会,1
-会喝,侪会喝,1
会喝一,会喝一,1
喝一杯,喝一杯,1
一杯水,一杯水,1
我-在,我垃海,2
-在这,垃海搿,1
在这里,海搿搭,1
这里住,搿搭住,1
里住了,搭住了,1
住了三,住了三,1
了三十,了三十,1
三十年,三十年,1
十年了,十年了,1
你告诉,侬告诉,2
告诉了,告诉了,1
诉了我,诉了我,1
了我以,了我以,1
我以后,我以后,1
以后我,以后我,1
后我才,后我侪,1
知道这,晓得搿,1
道这份,得搿份,1
这份文,搿份文,1
份文件,份文件,1
文件有,文件有,1
件有-,件有得,1
有-多,有得多,1
-多-,得多少,1
多-重,多少重,1
-重要,少重要,1
我-母,阿拉姆,1
-母亲,拉姆妈,1
母亲那,姆妈搿,1
亲那时,妈搿辰,1
那时-,搿辰光,1
时-比,辰光比,1
-比我,光比我,1
比我还,比我还,1
我还要,我还要,1
还要年,还要年,1
要年轻,要年轻,1
我想和,我想跟,1
想和一,想跟一,1
和一个,跟一个,1
一个喜,一个-,1
个喜欢,个-欢,1
喜欢-,-欢喜,1
欢-打,欢喜打,1
-打电,喜打电,1
打电动,打电动,1
电动的,电动个,1
动的-,动个小,1
的-女,个小姑,1
-女孩,小姑娘,1
女孩结,姑娘结,1
孩结婚,娘结婚,1
可以再,可以再,1
以再给,以再拨,1
再给我,再拨我,1
给我一,拨我一,1
我一点,我一点,1
一点咖,一点咖,1
点咖啡,点咖啡,1
咖啡吗,咖啡伐,1
房间太,房间太,1
间太小,间太小,1
太小了,太小了,1
小了容,小了-,1
了容纳,了-装,1
容纳不,-装勿,1
纳不下,装勿牢,1
不下五,勿牢五,1
下五十,牢五十,1
五十-,五十个,1
十-人,十个人,1
中国是,中国是,1
国是亚,国是亚,1
是亚洲,是亚洲,1
亚洲最,亚洲最,1
洲最大,洲最大,1
最大的,最大个,2
大的国,大个国,1
的国家,个国家,1
不用怕,勿用怕,1
用怕他,用怕伊,1
怕他不,怕伊勿,1
他不会,伊勿会,1
不会伤,勿会伤,1
会伤害,会伤害,1
伤害你,伤害侬,1
害你的,害侬个,1
她-在,伊垃海,1
-在学,垃海学,1
在学校,海学堂,1
学校参,学堂参,1
校参加,堂参加,1
参加了,参加了,1
加了很,加了交,1
了很多,了交关,1
很多活,交关活,1
多活动,关活动,1
我星期,我礼拜,1
星期天,礼拜天,1
期天下,拜天下,1
天下-,天下半,1
下-午,下半天,1
-午三,半天三,1
午三时,天三点,1
三时-,三点钟,1
时-会,点钟会,1
-会来,钟会来,1
会来看,会来看,1
来看你,来看侬,1
你收拾,侬收作,1
收拾好,收作好,1
拾好东,作好物,1
好东西,好物事,1
东西了,物事了,1
西了没,事了-,1
了没有,了-伐,1
看她来,喏伊来,1
她来了,伊来了,1
他帮我,伊帮我,1
帮我把,帮我拿,1
我把手,我拿手,1
把手表,拿手表,1
手表修,手表修,1
表修理,表修理,1
修理好,修理好,1
理好了,理好了,1
这里要,搿搭要,1
里要小,搭要当,1
要小心,要当心,1
小心扒,当心扒,1
心扒手,心扒手,1
这桌子,搿台子,1
桌子和,台子跟,1
子和我,子跟阿,1
和我们,跟阿拉,1
我们家,阿拉屋,1
们家-,拉屋里,1
家--,屋里向,1
--的,里向个,1
-的一,向个一,1
的一样,个一样,1
一样大,一样大,1
请你把,请侬拿,1
你把你,侬拿侬,1
把你的,拿侬个,1
你的名,侬个名,1
的名字,个名字,1
名字和,名字跟,1
字和电,字跟电,1
和电话,跟电话,1
电话号,电话号,1
话号码,话号头,1
号码告,号头告,1
码告诉,头告诉,1
老实说,老实讲,1
实说我,实讲我,1
说我其,讲我其,1
我其实,我其实,1
其实想,其实想,1
实想留,实想留,1
想留在,想留拉,1
中-不,里向勿,1
-不想,向勿想,1
不想出,勿想出,1
想出外,想出来,1
出外的,出来个,1
我们可,阿拉可,1
们可以,拉可以,1
可以继,可以继,1
以继续,以继续,1
继续-,继续白,1
续--,续白相,1
--玩,白相勿,1
-玩别,相勿要,1
玩别吵,勿要吵,1
别吵到,要吵到,1
吵到别,吵到别,1
到别人,到别人,1
别人就,别人就,1
人就-,人就可,1
就-行,就可以,1
-行了,可以了,1
-那是,哀个是,1
那是什,个是-,1
什么声,-啥声,1
么声音,啥声音,1
应该去,应该去,1
该去看,该去看,1
去看牙,去看牙,1
看牙医,看牙医,1
牙医把,牙医拿,1
医把牙,医拿牙,1
把牙拔,拿牙拔,1
牙拔掉,牙拔脱,1
请你告,请侬告,1
诉我机,诉我机,1
我机场,我机场,1
机场怎,机场哪,1
场怎么,场哪能,1
怎么去,哪能去,1
这房子,搿房子,1
房子里,房子里,1
子里面,子里向,1
里面有,里向有,1
面有多,向有多,1
有多少,有多少,1
多少只,多少只,1
少只猫,少只猫,1
了-把,记脱拿,1
-把书,脱拿书,1
把书还,拿书还,1
书还给,书还拨,1
还给图,还拨图,1
给图书,拨图书,1
图书馆,图书馆,1
那本笔,箇本-,1
本笔记,本-簿,1
笔记本,-簿子,1
记本是,簿子是,1
本是谁,子是啥,1
别-边,勿要边,1
-边吃,要边吃,1
边吃东,边吃物,1
吃东西,吃物事,1
东西边,物事边,1
西边说,事边讲,1
边说-,边讲言,1
说-话,讲言话,1
他很少,伊老少,1
很少写,老少写,1
少写信,少写信,1
写信给,写信拨,1
信给他,信拨伊,1
给他的,拨伊个,1
他的父,伊个爷,1
的父母,个爷娘,1
我的书,我个书,2
的书-,个书垃,2
书-在,书垃海,1
-在哪,垃海阿,1
在哪里,海阿里,1
哪里-,阿里搭,1
你说得,侬讲了,1
说得太,讲了忒,1
得太快,了忒快,1
太快了,忒快了,1
快了我,快了我,1
了我听,了我听,1
我听不,我听勿,1
听不懂,听勿懂,1
不懂你,勿懂侬,1
懂你可,懂侬可,1
可以说,可以讲,1
以说慢,以讲慢,1
说慢一,讲慢一,1
慢一点,慢一眼,1
一点吗,一眼伐,1
你相信,侬相信,1
相信也,相信也,2
信也好,信也好,2
也好不,也好勿,1
好不相,好勿相,1
不相信,勿相信,1
也好对,也好对,1
好对我,好对我,1
对我来,对我来,1
我来说,我来讲,1
来说-,来讲呒,1
说-没,讲呒没,1
没有什,没--,1
有什么,--啥,1
什么分,-啥分,1
么分别,啥分别,1
我做梦,我做梦,1
做梦也,做梦也,1
梦也-,梦也呒,1
没有想,没-想,1
有想过,-想到,1
想过会,想到会,1
过会在,到会得,1
会在-,会得垃,1
在-这,得垃搿,1
-这里,垃搿耷,1
这里碰,搿耷踫,1
里碰到,耷踫着,1
碰到-,踫着侬,1
到-你,着侬个,1
我年轻,我年轻,1
年轻的,年轻个,1
轻的时,轻个-,1
的时候,个-辰,1
候-常,辰光常,1
常常去,常常去,1
常去打,常去打,1
去打棒,去打棒,1
打棒球,打棒球,1
开摩托,开摩托,1
摩托车,摩托车,1
托车不,托车勿,1
车不戴,车勿戴,1
不戴头,勿戴头,1
戴头盔,戴头盔,1
头盔是,头盔是,1
盔是很,盔是老,1
是很危,是老危,1
很危险,老危险,1
危险的,危险个,1
我想-,我想垃,1
想-在,想垃海,1
-在爸,垃海爸,1
在爸爸,海爸爸,1
爸爸妈,爸爸妈,1
爸妈妈,爸妈妈,1
妈妈回,妈妈回,1
妈回来,妈回来,1
回来之,回来之,1
来之前,来之前,1
之前把,之前拿,1
前把房,前拿房,1
把房子,拿房子,1
房子打,房子打,1
子打扫,子打扫,1
打扫干,打扫干,1
扫干净,扫干净,1
有些苹,有眼苹,1
些苹果,眼苹果,1
苹果从,苹果从,1
果从树,果从书,1
从树上,从书高,1
树上-,书高头,1
上-掉,高头落,1
-掉了,头落了,1
掉了下,落了下,1
了下来,了下来,1
我们把,阿拉挪,1
们把门,拉挪门,1
把门涂,挪门涂,1
门涂成,门涂成,1
涂成了,涂成了,1
成了绿,成了绿,1
了绿-,了绿颜,1
绿-色,绿颜色,1
如果不,如果勿,1
果不下,果勿落,1
不下雨,勿落雨,1
下雨的,落雨个,1
雨的-,雨个言,1
的-话,个言话,1
-话你,言话侬,1
话你可,话侬可,1
可以去,可以去,1
以去踏,以去踏,1
去踏单,去踏脚,1
踏单-,踏脚踏,1
单-车,脚踏车,1
我想买,我想买,1
想买点,想买眼,1
买点阿,买眼阿,1
点阿司,眼阿司,1
阿司匹,阿司匹,1
司匹林,司匹林,1
-你看,侬看看,1
你看你,看看侬,1
看你吃,看侬吃,1
你吃得,侬吃得,1
吃得-,吃得来,1
得--,得来整,1
--满,来整个,1
-满嘴,整个嘴,1
满嘴-,个嘴巴,1
嘴-都,嘴巴侪,1
-都是,巴侪是,1
都是-,侪是个,1
是-了,是个了,1
你会说,--侬,2
会说义,-侬意,1
说义大,侬意大,1
义大利,意大利,1
大利语,大利文,1
利语-,利文讲,1
语--,文讲得,2
--吗,讲得来,2
-吗-,得来伐,2
有棵树,有棵树,1
棵树倒,棵树倒,1
树倒了,树倒-,1
倒了下,倒-下,1
了下来,-下来,1
下来把,下来了,1
来把-,来了拿,1
把--,了拿条,1
--路,拿条路,1
-路堵,条路砬,1
路堵住,路砬断,1
堵住了,砬断了,1
他把-,伊拿本,1
把-书,拿本书,1
-书撕,本书裁,1
书撕烂,书裁脱,1
撕烂了,裁脱了,1
亲爱的,老-公,1
爱的上,-公上,1
的上床,公上床,1
上床吧,上床啦,1
床吧不,床啦勿,1
吧不还,啦勿来,1
不还不,勿来自,1
还不行,来自啊,1
不行我,自啊我,1
行我-,啊我还,1
我-在,我还要,1
-在-,还要拉,1
在--,要拉垃,1
--T,拉垃T,1
ba上,ba-,1
a上还,a--,1
上还必,--浪,1
还必须,-浪-,1
必须翻,浪-翻,1
须翻译,-翻翻,1
翻译一,翻翻几,1
译一些,翻几句,1
一些句,几句句,1
些句子,句句子,1
句子-,句子哦,1
会说英,-侬英,1
说英语,侬英文,1
英语-,英文讲,1
是个好,是个好,1
个好人,个好人,1
远不要,远勿要,1
不要忘,勿要忘,1
要忘记,要忘记,1
忘记关,忘记关,1
记关火,记关火,1
你开得,侬开了,1
开得太,开了太,1
得太快,了太快,1
太快了,太快了,1
我看电,我看电,1
看电视,看电视,1
电视看,电视看,1
视看到,视看了,1
看到厌,看了怨,1
到厌烦,了怨煞,1
厌烦了,怨煞了,1
随时问,-有-,1
时问任,有--,1
问任何,---,1
任何问,--问,1
何问题,-问题,1
问题都,问题就,1
题都可,题就问,1
都可以,就问好,1
可以-,问好唻,1
雪梨离,悉尼离,1
梨离这,尼离箇,1
离这里,离箇墶,2
这里很,箇墶老,2
里很远,墶老远,2
很远-,老远个,2
我从来,我从来,1
从来-,从来呒,1
来-没,来呒没,1
没有看,没-看,1
有看过,-看过,1
看过他,看过伊,1
过他穿,过伊穿,1
他穿牛,伊穿牛,1
穿牛仔,穿牛仔,1
牛仔裤,牛仔裤,1
京都有,京都有,1
都有许,都有老,1
有许多,有老多,1
许多-,老多个,1
多-神,多个神,1
-神社,个神社,1
那时-,我当辰,1
时-我,当辰光,1
-我不,辰光勿,1
我不知,光勿晓,1
不知道,勿晓得,1
知道该,晓得该,1
道该怎,得该哪,1
该怎么,该哪能,1
怎么办,哪能办,1
她的母,伊个母,1
的母语,个母语,1
母语是,母语是,1
语是法,语是法,1
是法-,是法国,1
法--,法国闲,1
--语,国闲话,1
那个-,哀个垃,1
个-正,个垃海,1
-正在,垃海-,1
正在拉,海-拉,1
在拉小,-拉小,1
拉小提,拉小提,1
小提琴,小提琴,1
提琴的,提琴个,1
琴的男,琴个男,1
的男人,个男人,1
每个人,-人人,1
个人都,人人侪,1
人都说,人侪讲,1
都说我,侪讲我,1
说我看,讲我看,1
我看-,我看上,1
看-起,看上起,1
-起来,上起-,1
起来像,起-像,1
来像我,-像阿,1
像我-,像阿拉,1
我-爸,阿拉爸,1
-爸爸,拉爸爸,1
-在浇,垃海浇,1
在浇花,海浇花,1
安静-,-静一,1
静--,静一点,1
---,一点好,1
---,点好伐,1
我不是,我勿是,1
不是魔,勿是魔,1
是魔法,是魔法,1
魔法师,魔法师,1
书--,书垃海,1
---,垃海阿,1
--在,海阿里,1
你到底,侬--,1
到底怎,--哪,1
底怎么,-哪恁,1
怎么了,哪恁勒,1
么了啊,恁勒啦,1
哪本-,阿里簿,1
本-书,里簿书,1
-书是,簿书是,1
书是您,书是侬,1
是您的,是侬额,1
不要玩,---,1
要玩钥,--钥,1
玩钥匙,-钥匙,1
钥匙-,钥匙孛,1
匙--,匙孛相,1
---,孛相勿,1
---,相勿来,1
---,勿来个,1
这只老,-只老,1
只老鼠,只老鼠,1
老鼠是,老鼠-,1
鼠是死,鼠-死,1
是死还,-死个,1
死还是,死个还,1
还是活,个还活,1
是活的,还活个,1
你们好,侬-哪,1
们好吗,-哪能,1
你会-,侬会得,1
会-说,会得讲,1
-说英,得讲英,1
说英文,讲英文,1
英文吗,英文伐,1
谢谢-,谢谢侬,1
谢--,谢侬噢,1
我们学,阿拉学,1
们学习,拉学习,1
学习-,学习中,1
习-汉,习中国,1
-汉-,中国言,1
汉-语,国言话,1
悉尼离,悉尼离,1
尼离这,尼离箇,1
悉尼是,悉尼是,1
尼是澳,尼是澳,1
是澳大,是澳大,1
澳大利,澳大利,1
大利亚,大利亚,1
利亚最,利亚最,1
亚最大,亚最大,1
大的城,大个城,1
的城市,个城市,1
世界-,世界哴,2
界-上,界哴向,2
-上有,哴向有,2
上有超,向有超,2
有超过,有超过,2
超过八,超过八,2
过八十,过八十,2
八十万,八十万,2
十万的,十万个,2
万的-,万个人,1
的--,个人讲,1
--巴,人讲巴,1
-巴斯,讲巴斯,1
巴斯克,巴斯克,2
斯克语,斯克言,1
克语使,克言-,1
语使用,言-话,1
使用者,-话-,1
万的人,万个人,1
