cmn,wen,count
相机吗,相机啊,1
机吗-,机啊伐,1
我叫你,我叫你,1
叫你怎,叫你訾,1
你怎么,你訾那,1
怎么做,訾那做,2
么做你,那做你,1
做你就,做你就,1
你就怎,你就訾,1
就怎么,就訾那,1
她很喜,渠很喜,1
很喜欢,很喜欢,1
喜欢在,喜欢缩,1
欢在电,欢缩电,1
在电视,缩电视,1
电视上,电视上,1
视上看,视上眙,1
上看网,上眙网,1
看网球,眙网球,1
网球比,网球比,1
球比赛,球比赛,1
那幅画,许幅画,1
幅画是,幅画是,1
画是印,画是印,1
是印象,是印象,1
印象派,印象派,1
象派的,象派个,1
派的大,派个大,1
的大师,个大师,1
大师级,大师级,1
师级作,师级作,1
级作品,级作品,1
位处赤,位于赤,1
处赤道,于赤道,1
赤道附,赤道边,1
道附近,道边埏,1
附近一,边埏一,1
近一个,埏一个,1
一个狭,一个狭,1
个狭窄,个狭个,1
狭窄区,狭个区,1
窄区域,个区域,1
区域的,区域个,1
域的热,域个热,1
的热带,个热带,2
热带雨,热带雨,2
带雨林,带雨林,2
雨林正,雨林正,1
林正在,林正是,1
正在-,正是搭,1
在-不,是搭不,1
-不断,搭不停,1
不断地,不停能,1
断地遭,停能遭,1
地遭受,能遭受,1
遭受人,遭受人,1
受人类,受人类,1
人类的,人类个,1
类的破,类个破,1
的破坏,个破坏,1
破坏预,破坏预,1
坏预计,坏预计,1
预计在,预计是,1
计在二,计是二,1
在二零,是二零,1
二零零,二零零,1
零零零,零零零,1
零零年,零零年,1
零年之,零年之,1
年之前,年之前,1
之前该,之前居,1
前该区,前居区,1
该区域,居区域,1
区域将,区域-,1
域将会,域-会,1
将会有,-会有,1
会有五,会有五,1
有五分,有五分,1
五分之,五分之,1
分之四,分之四,1
之四的,之四个,1
四的热,四个热,1
雨林从,雨林缩,1
林从地,林缩地,1
从地球,缩地球,1
地球上,地球上,1
球上消,球上消,1
上消失,上消失,1
应该学,应该学,1
该学习,该学习,1
学习控,学习控,1
习控制,习控制,1
控制自,控制你,1
制自己,制你己,1
自己的,你己个,1
己的情,己个脾,1
的情绪,个脾气,1
房子乱,屋宕乱,1
子乱七,宕乱七,1
乱七八,乱七八,1
七八糟,七八糟,1
八糟也,八糟也,1
糟也没,糟也冇,1
也没问,也冇问,1
没问题,冇问题,1
问题但,问题但,1
题但是,题但是,1
但是肮,但是鏖,1
是肮脏,是鏖糟,1
肮脏的,鏖糟个,1
脏的话,糟个话,1
的话我,个话我,1
话我-,话我l,1
我-接,我le,1
-接受,lei,1
接受不,ei否,1
受不了,i否落,1
她什么,渠何乜,1
什么事,何乜事,1
么事也,乜事干,1
事也-,事干沃,1
也-依,干沃靠,1
-依赖,沃靠渠,1
依赖老,靠渠老,1
赖老公,渠老公,1
坐在角,坐居角,1
在角落,居角落,1
角落的,角落里,1
落的那,落里个,1
的那-,里个许,1
那-个,个许个,1
-个男,许个男,1
个男人,个男个,1
男人是,男个是,2
人是-,个是何,1
---,何乜人,1
--谁,乜人啊,2
请你把,请你逮,2
你把故,你逮故,1
把故事,逮故事,1
故事从,故事从,1
事从头,事从头,1
从头到,从头到,1
头到尾,头到尾,1
到尾给,到尾匄,1
尾给-,尾匄卬,1
给-我,匄卬你,1
我们说,你-讲,1
们说一,-讲一,1
说一遍,讲一遍,1
你可以,你可以,4
可以带,可以带,1
以带我,以带我,1
带我-,带我走,1
我-去,我走去,1
-去吗,走去伐,1
你一定,你一定,1
一定要,一定着,1
定要考,定着考,1
要考虑,着考虑,1
考虑-,考虑灵,1
虑-清,虑灵清,1
-清楚,灵清-,1
清楚你,清-你,1
楚你-,-你己,1
你-想,你己想,1
-想做,己想做,1
想做怎,想做狃,1
做怎么,做狃能,1
怎么样,狃能色,1
么样的,能色个,1
样的工,色个工,1
的工作,个工作,1
你放假,你放假,1
放假打,放假打,1
假打算,假打算,1
打算去,打算走,1
算去什,算走-,1
去什么,走-狃,1
什么地,-狃宕,1
么地方,狃宕-,1
地方玩,宕-嬉,1
方玩呢,-嬉-,1
她把苹,渠逮苹,1
把苹果,逮苹果,1
苹果切,苹果切,1
果切成,果切成,1
切成了,切成-,1
成了两,成-两,1
了两-,-两对,1
两-半,两对半,1
这些树,居厘树,1
些树是,厘树是,1
树是他,树是渠,1
是他们,是渠厘,1
他们种,渠厘种,1
们种-,厘种起,1
种-的,种起个,1
瑞士人,瑞士人,1
士人大,士人大,1
人大-,人大部,1
大-多,大部分,1
-多能,部分会,1
多能说,分会讲,1
能说三,会讲三,1
说三四,讲三四,1
三四种,三四种,1
四种语,四种话,1
种语言,种话-,1
-这房,居个房,1
这房间,个房间,1
房间是,房间是,1
间是禁,间是禁,1
是禁止,是禁止,1
禁止吸,禁止吃,1
止吸-,止吃香,1
吸-烟,吃香烟,1
-烟的,香烟个,1
我一走,我一走,1
一走路,一走路,1
走路-,走路居,1
路-这,路居宕,1
-这里,居宕哩,1
这里就,宕哩就,1
里就很,哩就会,1
就很痛,就会痛,1
她除了,渠除了,1
除了懂,除了-,1
了懂得,了-会,1
懂得弹,-会弹,2
得弹钢,会弹钢,1
弹钢琴,弹钢琴,2
钢琴还,钢琴还,1
琴还懂,琴还-,1
还懂得,还-会,1
得弹吉,会弹吉,1
弹吉他,弹吉他,1
她会弹,渠会弹,1
会弹钢,会弹钢,1
钢琴吗,钢琴啊,1
琴吗-,琴啊伐,1
我想他,我想他,1
想他得,想他着,1
他得花,他着-,1
得花两,着-两,1
花两个,-两个,1
两个小,两个小,1
个小时,个小时,1
小时才,小时-,1
时才能,时--,1
才能把,---,1
能把工,--工,1
把工作,-工作,1
工作-,工作新,1
作--,作新会,1
--做,新会做,1
-做完,会做好,1
我真想,我真想,1
真想在,真想缩,1
想在T,想缩T,1
在Ta,缩Ta,2
Tat,Tat,2
ato,ato,2
toe,toe,2
oeb,oeb,2
eba,eba,2
ba-,ba上,1
a-写,a上写,1
-写很,上写-,1
写很多,写-多,1
很多很,-多显,1
多很多,多显多,1
很多的,显多个,1
多的句,多个句,1
的句子,个句子,1
句子不,句子可,1
子不过,子可惜,1
不过我,可惜我,1
过我-,惜我还,1
我-有,我还有,1
-有别,还有别,1
有别的,有别样,1
别的事,别样事,1
的事-,样事个,1
事-要,事个着,1
-要做,个着做,1
我们还,你-还,1
们还是,-还是,1
还是让,还是匄,1
是让老,是匄老,1
让老师,匄老师,1
老师决,老师决,1
师决定,师决定,1
决定吧,决定-,1
圣诞节,圣诞节,1
诞节快,诞节快,1
节快到,节快到,1
快到了,快到罢,1
到了生,到罢生,1
了生意,罢生意,1
生意也,生意也,1
意也好,意也好,1
也好-,也好厘,1
好-了,好厘了,1
-了点,厘了-,1
-剪刀,铰剪-,1
剪刀石,剪-石,1
刀石头,-石头,1
石头布,石头布,1
我要和,我着伉,1
要和你,着伉你,1
和你说,伉你讲,1
你说再,你讲再,1
说再见,讲再见,1
再见了,再见爻,1
对了我,对爻我,1
了我有,爻我有,1
我有一,我有-,1
有一件,有-件,1
一件事,-件事,1
件事要,件事个,1
事要告,事个伉,1
要告诉,个伉-,1
告诉你,伉-你,1
诉你-,-你讲,1
--这,居宕边,1
-这里,宕边-,1
这里附,边--,1
里附近,--埏,1
附近的,-埏个,1
近的电,埏个电,1
的电话,个电话,1
电话亭,电话亭,1
话亭少,话亭少,1
亭少得,亭少显,1
少得可,少显少,1
得可怜,显少-,1
汤姆今,汤姆该,1
姆今天,姆该日,1
今天要,该日着,1
天要留,日着缩,1
要留在,着缩-,1
留在家,缩-屋,1
在家中,-屋里,2
家中吗,屋里啊,1
中吗-,里啊伐,1
可以告,可以伉,1
以告诉,以伉-,1
告诉我,伉-我,3
诉我-,-我讲,3
我-我,我讲我,1
-我错,讲我狃,1
我错在,我狃宕,1
错在哪,狃宕赚,1
在哪儿,宕赚爻,1
哪儿吗,赚爻罢,1
电影好,电影好,1
影好看,影好眙,1
好看吗,好眙伐,1
什么水,何乜水,1
么水果,乜水果,1
水果是,水果是,1
果是红,果是红,1
是红色,是红-,1
红色的,红-个,1
你是怎,你是訾,1
是怎么,是訾那,1
怎么认,訾那认,1
么认识,那认识,1
认识她,认识渠,1
识她的,识渠个,1
他走路,渠走能,1
走路时,走能届,1
路时-,能届沃,1
时-常,届沃清,1
-常常,沃清清,1
常常把,清清能,1
常把-,清能逮,1
把-一,能逮一,1
-一只,逮一只,1
一只手,一只手,1
只手插,只手插,1
手插在,手插-,1
插在裤,插-裤,1
在裤袋,-裤兜,1
裤袋里,裤兜里,1
天色开,天-开,1
色开始,-开始,1
开始暗,开始暗,1
始暗-,始暗爻,1
暗-了,暗爻罢,1
-了麻,爻罢麻,1
了麻烦,罢麻烦,1
麻烦你,麻烦你,1
烦你帮,烦你逮,1
你帮我,你逮我,1
帮我-,逮我灯,1
我-开,我灯开,1
-开-,灯开一,1
开-灯,开一开,1
我们以,你-以,1
们以前,-以早,1
以前住,以早住,1
前住的,早住个,1
住的房,住个屋,1
的房子,个屋宕,1
房子-,屋宕匄,1
子-被,宕匄渠,1
-被拆,匄渠拆,1
被拆-,渠拆爻,1
拆-毁,拆爻罢,1
-毁了,爻罢-,1
这间学,居间学,1
间学校,间学堂,1
学校女,学堂奶,1
校女孩,堂奶儿,1
女孩-,奶儿娒,1
孩-比,儿娒比,1
-比男,娒比男,1
比男孩,比男儿,1
男孩-,男儿娒,1
孩-多,儿娒多,1
他每-,渠每日,1
每-天,每日天,1
-天早,日天光,1
天早上,天光-,1
早上都,光-沃,1
上都会,-沃会,1
都会喝,沃会呷,1
会喝一,会呷一,1
喝一杯,呷一杯,1
一杯水,一杯水,1
我在这,我-缩,1
在这里,-缩居,2
这里-,缩居宕,2
里-住,居宕住,1
-住了,宕住-,1
住了三,住-三,1
了三十,-三十,1
三十年,三十年,1
十年-,十年爻,1
年-了,年爻罢,1
你告诉,你伉-,2
告诉了,伉--,1
诉了我,--我,1
了我-,-我讲,1
我--,我讲爻,1
--以,讲爻以,1
-以后,爻以后,1
以后我,以后我,1
后我才,后我新,1
知道这,晓得居,1
道这份,得居份,1
这份文,居份文,1
份文件,份文件,1
文件有,文件恁,1
件有多,件恁-,1
有多重,恁-重,1
多重要,-重要,1
我母亲,我阿妈,1
母亲-,阿妈许,1
亲-那,妈许能,1
-那时,许能届,1
那时比,能届比,1
时比我,届比我,1
比我还,比我还,2
我还要,我还-,1
还要年,还-年,1
要年轻,-年轻,1
我想和,我想伉,1
想和一,想伉一,1
和一个,伉一个,1
一个喜,一个喜,1
个喜欢,个喜欢,1
喜欢打,喜欢打,1
欢打电,欢打电,1
打电动,打电动,1
电动的,电动个,1
动的女,动个女,1
的女孩,个女个,1
女孩结,女个结,1
孩结婚,个结婚,1
可以再,可以再,1
以再给,以再匄,1
再给我,再匄我,1
给我一,匄我一,1
我一点,我一厘,1
一点咖,一厘咖,1
点咖啡,厘咖啡,1
咖啡吗,咖啡啊,1
啡吗-,啡啊伐,1
这房间,居房间,1
房间太,房间忒,1
间太小,间忒小,1
太小了,忒小爻,1
小了容,小爻坐,1
了容纳,爻坐-,1
容纳不,坐-否,1
纳不下,-否入,1
不下五,否入五,1
下五十,入五十,1
五十人,五十人,1
中国是,中国是,1
国是亚,国是亚,1
是亚洲,是亚洲,1
亚洲最,亚洲最,1
洲最大,洲最大,1
最大-,最大个,1
大-的,大个个,1
-的国,个个国,1
的国家,个国-,1
不用怕,覅-吓,1
用怕他,-吓渠,1
怕他不,吓渠不,1
他不会,渠不会,1
不会伤,不会-,1
会伤害,会-害,1
伤害你,-害你,1
害你的,害你个,1
她在学,渠缩学,1
在学校,缩学堂,1
学校-,学堂里,1
校-参,堂里参,1
-参加,里参加,1
参加-,参加爻,1
加-了,加爻多,1
-了很,爻多显,1
了很多,多显多,1
很多-,显多个,1
多-活,多个活,1
-活动,个活动,1
我星期,我星期,1
星期天,星期日,1
期天下,期日后,1
天下-,日后半,1
下-午,后半日,1
-午三,半日三,1
午三时,日三点,1
三时会,三点会,1
时会-,点会走,1
会-来,会走来,1
-来看,走来眙,1
来看你,来眙你,1
你-收,你物事,1
-收拾,物事理,1
收拾好,事理好,1
拾好东,理好罢,1
好东西,好罢-,1
东西了,罢--,1
西了没,--啊,1
了没有,-啊未,1
看-她,眙渠走,1
-她来,渠走来,1
她来了,走来罢,1
他帮我,渠帮我,1
帮我把,帮我逮,1
我把手,我逮手,1
把手表,逮手表,1
手表修,手表修,1
表修理,表修-,1
修理好,修-好,1
理好了,-好罢,1
这里-,-居宕,1
里-要,居宕着,1
-要小,宕着留,1
要小心,着留心,1
小心扒,留心-,1
心扒手,心-贼,1
-这桌,居张桌,1
这桌子,张桌伉,1
桌子和,桌伉卬,1
子和我,伉卬你,1
和我们,卬你-,1
我们家,你-屋,1
们家-,-屋宕,1
家-的,屋宕个,1
-的一,宕个一,1
的一样,个一色,1
一样大,一色大,1
你把你,你逮你,1
把你的,逮你个,1
你的名,你个名,1
的名字,个名字,1
名字和,名字伉,1
字和电,字伉电,1
和电话,伉电话,1
电话号,电话号,1
话号码,话号码,1
号码告,号码伉,1
码告诉,码伉-,1
-老实,讲老实,1
老实说,老实话,1
实说我,实话我,1
说我其,话我其,1
我其实,我其实,1
其实想,其实想,1
实想留,实想留,1
想留在,想留-,1
留在家,留-屋,1
家中-,屋里个,1
中-不,里个否,1
-不想,个否想,1
不想-,否想走,1
想-出,想走出,1
-出外,走出-,1
出外的,出--,1
我们可,你-可,1
们可以,-可以,1
可以继,可以接,1
以继续,以接下,1
继续玩,接下嬉,1
续玩别,下嬉覅,1
玩别吵,嬉覅吵,1
别吵到,覅吵着,1
吵到别,吵着别,1
到别人,着别人,1
别人就,别人就,1
人就行,人就用,1
就行了,就用着,1
那是什,许个何,1
是什么,个何乜,1
什么声,何乜声,1
么声音,乜声音,1
声音-,声音啊,1
应该去,应该走,1
该去看,该走眙,1
去看牙,走眙牙,1
看牙医,眙牙医,1
牙医把,牙医逮,1
医把牙,医逮牙,1
把牙拔,逮牙拔,1
牙拔掉,牙拔爻,1
请你告,请你伉,1
我--,我讲一,1
---,讲一讲,1
--机,一讲机,1
-机场,讲机场,1
机场怎,机场訾,1
场怎么,场訾那,1
怎么去,訾那走,1
-这房,居个屋,1
这房子,个屋-,1
房子里,屋-里,1
子里面,-里-,1
里面有,里-有,1
面有多,-有几,1
有多少,有几厘,1
多少只,几厘只,1
少只猫,厘只猫,1
只猫-,只猫儿,1
忘了把,记爻逮,1
了把书,爻逮书,1
把书还,逮书-,1
书还给,书-匄,1
还给图,-匄图,1
给图书,匄图书,1
图书馆,图书馆,1
书馆-,书馆里,1
馆--,馆里还,1
那本笔,许本笔,1
本笔记,本笔记,1
笔记本,笔记本,1
记本是,记本是,1
本是-,本是何,1
谁的-,人个啊,1
别边吃,覅边吃,1
边吃东,边吃物,1
吃东西,吃物事,1
东西边,物事边,1
西边说,事边讲,1
边说话,边讲话,1
他很少,渠很少,1
很少-,很少匄,1
少--,少匄渠,1
---,匄渠爸,1
---,渠爸妈,1
--写,爸妈写,1
-写信,妈写信,1
写信给,写信-,1
信给他,信--,1
给他的,---,1
他的父,---,1
的父母,---,1
我的书,我个书,2
的书在,个书是,2
书在哪,书是狃,1
在哪-,是狃宕,1
哪-里,狃宕啊,1
你说得,你讲-,1
说得太,讲-忒,1
得太快,-忒快,2
太快了,忒快爻,2
快了我,快爻我,1
了我听,爻我听,1
我听不,我听否,1
听不懂,听否懂,1
不懂你,否懂你,1
懂你可,懂你可,1
可以说,可以讲,1
以说慢,以讲慢,1
说慢一,讲慢一,1
慢一点,慢一厘,1
一点吗,一厘伐,1
你相信,你相信,1
相信也,相信也,2
信也好,信也好,2
也好不,也好否,1
好不相,好否相,1
不相信,否相信,1
也好对,也好对,1
好对我,好对我,1
对我来,对我-,1
我来说,我--,1
来说没,--冇,1
说没有,-冇何,1
没有什,冇何乜,1
有什么,何乜区,1
什么分,乜区-,1
么分别,区-别,1
我做梦,我做梦,1
做梦也,做梦也,1
梦也没,梦也-,1
也没有,也--,1
没有想,--想,1
有想-,-想否,1
想-过,想否到,1
-过会,否到会,1
过会在,到会-,1
会在这,会-缩,1
里-碰,居宕碰,1
-碰到,宕碰着,1
碰到你,碰着你,1
我年轻,我年轻,1
年轻的,年轻能,1
轻的时,轻能届,1
的时候,能届清,1
时候常,届清清,1
候常常,清清能,1
常常去,清能走,1
常去打,能走打,1
去打棒,走打棒,1
打棒球,打棒球,1
开摩托,开摩托,1
摩托车,摩托车,1
托车不,托车否,1
车不戴,车否戴,1
不戴头,否戴头,1
戴头盔,戴头盔,1
头盔-,头盔危,1
盔-是,盔危险,1
-是很,危险显,1
是很危,险显危,1
很危险,显危险,1
危险的,危险-,1
我想在,我想-,1
想在爸,想--,1
在爸爸,--爸,1
爸爸妈,-爸-,1
爸妈妈,爸-妈,1
妈妈回,-妈走,1
妈回来,妈走来,1
回来之,走来之,1
来之前,来之前,1
之前把,之前逮,1
前把房,前逮屋,1
把房子,逮屋里,1
房子打,屋里打,1
子打扫,里打扫,1
打扫干,打扫光,1
扫干净,扫光生,1
有些苹,有厘苹,1
些苹果,厘苹果,1
苹果从,苹果缩,1
果从树,果缩树,1
从树上,缩树上,1
树上掉,树上遁,1
上掉了,上遁落,1
掉了下,遁落爻,1
了下来,落爻罢,1
我们把,你-逮,1
们把门,-逮门,1
把门涂,逮门涂,1
门涂成,门涂成,1
涂成了,涂成-,1
成了绿,成-绿,1
了绿-,-绿个,1
绿-色,绿个爻,1
如果不,当当能,1
果不-,当能否,1
不-下,能否下,1
-下雨,否下雨,1
下雨的,下雨-,1
雨的话,雨--,1
的话你,--你,1
话你可,-你可,1
可以去,可以踏,1
以去踏,以踏踏,1
去踏单,踏踏脚,1
踏单车,踏脚车,1
单车-,脚车走,1
车--,车走去,1
我想买,我想买,1
想买-,想买厘,1
买-点,买厘儿,1
-点阿,厘儿阿,1
点阿司,儿阿司,1
阿司匹,阿司匹,1
司匹林,司匹林,1
你看你,你眙你,1
看你吃,眙你吃,1
你吃得,你吃起,1
吃得满,吃起满,1
得满嘴,起满嘴,1
满嘴都,满嘴上,1
嘴都-,嘴上沃,1
都-是,上沃是,1
-是了,沃是-,1
你会说,你会讲,3
会说义,会讲义,1
说义大,讲义大,1
义大利,义大利,1
大利语,大利话,1
利语吗,利话啊,1
语吗-,话啊伐,1
有棵树,有座树,1
棵树倒,座树倒,1
树倒了,树倒-,1
倒了下,倒-下,1
了下来,-下-,1
下来把,下-逮,1
来把路,-逮路,1
把路堵,逮路塞,1
路堵住,路塞爻,1
堵住了,塞爻罢,1
他把书,渠逮书,1
把书撕,逮书剫,1
书撕-,书剫爻,1
撕-烂,剫爻罢,1
-烂了,爻罢-,1
亲爱的,亲爱得,1
爱的上,爱得走,1
的上床,得走床,1
上床-,走床里,1
床-吧,床里呐,1
-吧不,里呐未,1
吧不还,呐未还,1
不还不,未还未,1
还不行,还未呐,1
不行我,未呐我,1
行我在,呐我缩,1
我在T,我缩T,1
ba上,ba上,1
a上还,a上还,1
上还必,上还-,1
还必须,还--,1
必须翻,---,1
须翻译,---,1
翻译一,--有,1
译一些,-有厘,1
一些句,有厘句,1
些句子,厘句子,1
句子-,句子着,1
子--,子着翻,1
---,着翻译,1
会说英,会讲英,2
说英语,讲英语,1
英语吗,英语啊,1
语吗-,语啊伐,1
是个好,是个好,1
个好人,个好人,1
远不要,远覅-,1
不要忘,覅-悗,1
要忘记,-悗记,1
忘记-,悗记逮,1
记--,记逮火,1
--关,逮火关,1
-关火,火关爻,1
走开-,走开来,1
你开得,你开-,1
开得太,开-忒,1
我看电,我眙电,1
看电视,眙电视,1
电视看,电视-,1
视看到,视--,1
看到厌,--眙,1
到厌烦,-眙烦,1
厌烦了,眙烦起,1
烦了-,烦起爻,1
了--,起爻罢,1
随时-,随便若,1
时--,便若能,1
---,若能届,1
--问,能届问,1
-问任,届问-,1
问任何,问-何,1
任何-,-何乜,1
何-问,何乜问,1
-问题,乜问题,1
问题都,问题沃,1
题都可,题沃可,1
都可以,沃可以,1
雪梨-,雪梨伉,1
梨--,梨伉居,1
---,伉居宕,1
--离,居宕远,1
-离这,宕远显,1
离这里,远显-,1
这里很,显--,1
里很远,--远,1
我从来,我从来,1
从来没,从来冇,1
来没有,来冇-,1
没有看,冇-眙,1
有看过,-眙过,1
看过-,眙过渠,1
过-他,过渠着,1
-他穿,渠着-,1
他穿牛,着-牛,1
穿牛仔,-牛仔,1
牛仔裤,牛仔裤,1
京都有,京都有,1
都有-,都有多,1
有-许,有多显,1
-许多,多显多,1
许多神,显多神,1
多神社,多神社,1
那时我,--我,1
时我-,-我许,1
我-不,我许能,1
-不-,许能届,1
不-知,能届否,1
-知-,届否晓,1
知-道,否晓得,1
-道该,晓得訾,1
道该怎,得訾那,1
该怎么,訾那能,1
怎么办,那能妆,1
滚--,滚远哩,1
她的母,渠个母,1
的母语,个母语,1
母语是,母语是,1
语是法,语是法,1
是法语,是法语,1
那个正,--恰,1
个正在,-恰是,1
正在-,恰是搭,1
在-拉,是搭拉,1
-拉小,搭拉小,1
拉小提,拉小提,1
小提琴,小提琴,1
提琴-,提琴个,1
琴--,琴个许,1
--的,个许个,1
-的男,许个男,1
的男人,个男个,1
人是-,个是乜,1
是--,是乜人,1
每个人,每个人,1
个人都,个人沃,1
人都说,人沃讲,1
都说我,沃讲我,1
说我看,讲我-,1
我看起,我-眙,1
看起来,-眙着,1
起来像,眙着伉,1
来像我,着伉我,1
像我爸,伉我爸,1
我爸-,我爸相,1
爸-爸,爸相像,1
我在-,我是得,1
在-浇,是得浇,1
-浇花,得浇花,1
安静-,-静一,1
静--,静一厘,1
我不是,我否是,1
不是魔,否是魔,1
是魔法,是魔法,1
魔法师,魔法师,1
书在-,书是狃,1
在--,是狃宕,1
--哪,狃宕啊,1
你到底,你到底,1
到底怎,到底訾,1
底怎么,底訾-,1
怎么了,訾-那,1
么了啊,-那爻,1
哪本书,若本书,1
本书是,本书是,1
书是您,书是你,1
是您的,是你个,1
不要玩,覅-狡,1
要玩钥,-狡锁,1
玩钥匙,狡锁匙,1
这只老,居只老,1
只老鼠,只老鼠,1
老鼠是,老鼠是,1
鼠是死,鼠是死,1
是死-,是死个,1
死-还,死个还,1
-还是,个还是,1
还是活,还是活,1
是活的,是活个,1
你们好,你厘好,1
们好吗,厘好啊,1
好吗-,好啊伐,2
说英文,讲英语,1
英文吗,英语啊,1
文吗-,语啊伐,1
我们学,我厘学,1
们学习,厘学习,1
学习汉,学习汉,1
习汉语,习汉语,1
悉尼-,悉尼伉,1
尼-离,尼伉居,1
-离这,伉居宕,1
离这里,居宕死,1
这里很,宕死人,1
里很远,死人远,1
悉尼是,悉尼是,1
尼是澳,尼是澳,1
是澳大,是澳大,1
澳大利,澳大利,1
大利亚,大利亚,1
利亚最,利亚最,1
亚最大,亚最大,1
最大的,最大个,1
大的城,大个城,1
的城市,个城市,1
世界上,世界上,2
界上有,界上有,2
上有超,上有超,2
有超过,有超过,2
超过八,超过八,2
过八十,过八十,2
八十万,八十万,2
十万的,十万个,2
万的-,万个人,1
的--,个人用,1
--巴,人用巴,1
-巴斯,用巴斯,1
巴斯克,巴斯克,2
斯克语,斯克话,2
克语使,克话-,1
语使用,话--,1
使用者,---,1
万的人,万个人,1
的人说,个人讲,1
人说巴,人讲巴,1
说巴斯,讲巴斯,1
你们比,你厘比,1
们比我,厘比我,1
我还高,我还高,1
还高-,还高哩,1
你好吗,你好啊,1
你们怎,你厘訾,1
们怎么,厘訾那,1
怎么就,訾那就,1
么就是,那就-,1
就是没,就-冇,1
是没相,-冇相,1
