cmn,yue,count
害,害,1
参,参,1
加,加,1
活,活,1
动,动,1
星,星,1
期,期,1
下,晏,1
午,昼,1
看,探,1
收,执,1
拾,-,1
东,晒,1
西,啲,1
了,嘢,1
没,未,1
有,呀,1
她,吓,1
把,整,1
手,-,1
表,-,1
修,-,1
理,-,1
了,只,1
-,表,1
小,因,1
心,住,1
扒,人,1
手,挞,1
这,张,1
-,屋,2
家,企,1
的,张,1
样,样,1
把,话,1
名,名,1
字,-,1
号,号,1
码,码,1
告,俾,1
实,实,2
其,其,1
外,街,1
继,继,1
续,续,1
吵,嘈,1
别,-,1
行,-,1
声,声,1
音,嚟,1
牙,牙,2
医,医,1
-,掹,1
把,只,1
拔,佢,1
掉,-,1
场,场,1
子,入,1
里,-,1
面,面,1
少,多,1
猫,猫,1
-,呀,2
别,记,1
忘,得,1
了,还,1
-,返,1
把,本,1
还,-,4
图,图,1
馆,馆,1
本,本,2
笔,-,1
记,簿,1
本,-,1
边,一,1
-,路,2
吃,食,2
东,嘢,1
西,一,1
边,路,1
话,嘢,1
信,信,4
的,本,2
里,边,1
得,得,2
太,太,2
听,听,1
懂,明,1
慢,慢,1
一,少,1
点,少,1
也,又,2
对,对,2
有,-,3
别,别,1
做,发,1
梦,梦,1
碰,撞,1
年,后,1
的,生,1
常,成,1
常,日,1
棒,棒,1
-,揸,1
开,电,1
摩,-,1
托,单,1
车,车,2
戴,戴,1
盔,盔,1
危,危,1
险,险,1
爸,阿,1
爸,爸,1
妈,阿,1
妈,妈,1
把,-,3
打,-,1
扫,执,1
干,干,1
净,净,1
-,间,1
-,棵,1
掉,跌,1
-,道,1
门,门,1
涂,油,1
成,咗,1
了,做,1
绿,绿,1
如,如,1
踏,踩,1
单,单,1
买,买,1
阿,阿,1
司,士,1
匹,匹,1
林,灵,1
-,成,1
满,个,1
嘴,口,1
义,意,1
利,利,1
语,文,6
棵,棵,1
倒,冧,1
路,-,1
堵,塞,1
了,条,1
书,-,1
撕,撕,1
烂,烂,1
了,本,1
-,书,1
亲,老,1
爱,-,1
的,公,1
上,上,3
床,床,1
不,未,1
还,得,1
不,住,1
行,呀,1
在,要,1
必,-,1
须,-,1
翻,翻,1
译,译,1
一,多,1
-,几,1
些,句,1
-,先,1
英,英,2
永,千,1
远,祈,1
忘,唔,1
关,得,1
-,熄,1
走,死,1
开,揸,1
厌,厌,1
烦,喇,1
随,-,1
时,有,1
问,-,1
任,-,1
何,-,1
问,问,1
题,题,1
都,随,1
可,便,1
以,问,1
雪,雪,1
梨,梨,1
离,离,2
从,-,1
来,-,2
没,冇,1
看,见,1
牛,牛,1
仔,仔,1
京,京,1
许,好,1
神,神,1
社,社,1
那,我,1
-,阵,1
我,唔,1
不,-,1
该,点,1
怎,做,1
么,先,1
办,好,1
-,躝,1
滚,开,1
-,啦,3
母,母,1
法,法,1
正,-,1
在,-,1
拉,拉,1
小,小,1
提,提,1
男,-,1
每,人,1
人,个,1
说,话,1
看,-,1
起,同,1
像,-,1
爸,老,1
-,豆,1
爸,好,1
-,似,1
-,样,1
-,帮,1
浇,紧,1
花,花,1
-,淋,1
-,水,1
安,-,1
静,静,1
-,D,1
魔,魔,1
法,术,1
哪,边,2
你,-,1
到,-,1
底,-,1
怎,搞,1
啊,呀,1
-,你,1
您,你,1
不,梦,1
要,-,1
-,条,1
钥,锁,1
匙,匙,1
鼠,鼠,1
是,生,1
-,定,1
死,死,1
活,-,1
的,架,1
见,拜,1
们,点,1
好,-,1
谢,唔,1
谢,该,1
习,-,1
汉,中,1
悉,雪,1
尼,梨,1
悉,悉,1
尼,尼,1
澳,澳,1
利,-,1
亚,洲,1
城,城,1
市,市,1
世,世,2
界,界,2
超,超,2
八,八,2
万,万,2
的,人,1
巴,巴,2
斯,斯,2
克,克,2
使,-,1
用,-,1
者,-,1
们,-,2
比,高,1
高,-,1
好,点,1
就,解,1
没,唔,1
他,阿,1
怀,期,1
有,望,1
高,高,1
期,-,1
望,-,1
倚,挨,1
-,埋,1
着,埲,1
墙,墙,1
-,度,1
