cmn,wuu,count
见了,会了,1
对了,对个,1
了我,个我,1
有一,有-,1
一件,-桩,1
件事,桩事,1
要告,要跟,1
告诉,跟侬,1
诉你,侬讲,1
里附,搭附,1
近的,近个,1
的电,个电,1
电话,电话,2
话亭,话亭,1
亭少,亭少,1
少得,少了,1
得可,了可,1
可怜,可怜,1
姆今,姆今,1
今天,今朝,1
天要,朝要,1
要留,要留,1
留在,留拉,2
在家,拉屋,2
家中,屋里,2
中-,里向,2
-吗,向伐,1
以告,以告,1
告诉,告诉,4
诉我,诉我,3
我我,我我,1
我错,我错,1
错-,错拉,1
--,拉阿,1
-在,阿里,2
在哪,里搭,2
哪儿,搭伐,1
儿吗,伐-,1
电影,电影,1
影好,影好,1
看吗,看伐,1
么水,个水,1
水果,水果,1
果是,果是,1
是红,是红,1
红-,红颜,1
-色,颜色,2
色的,色个,1
你是,侬是,1
是怎,是哪,1
么认,能认,1
认识,认-,1
识她,-得,1
她-,得伊,1
-的,伊个,1
他走,伊走,1
路时,路个,1
时-,个辰,1
--,辰光,1
-常,光常,2
常常,常常,2
常把,常拿,1
把一,拿一,1
一只,一只,1
只手,只手,1
手插,手插,1
插在,插拉,1
在裤,拉裤,1
裤袋,裤袋,1
袋里,袋里,1
天色,天色,1
色开,色开,1
开始,开始,1
始暗,始暗,1
暗了,暗了,1
了麻,了麻,1
麻烦,麻烦,1
烦你,烦侬,1
你帮,侬帮,1
帮我,帮我,2
我开,我开,1
开灯,开灯,1
们以,拉以,1
以前,以前,1
前住,前住,1
住的,住个,1
子被,子被,1
被拆,被拆,1
拆毁,拆脱,1
毁了,脱了,1
这间,搿间,1
间学,间学,1
学校,学堂,2
校女,堂女,1
女-,女小,1
-孩,小人,2
孩比,人比,1
比男,比男,1
男-,男小,1
孩多,人多,1
他每,伊每,1
每天,每天,1
天早,天早,1
早上,早浪,1
上都,浪向,1
都-,向侪,1
-会,侪会,1
会喝,会喝,1
喝一,喝一,1
一杯,一杯,1
杯水,杯水,1
我-,我垃,2
在这,海搿,1
里住,搭住,1
住了,住了,1
三十,三十,1
十年,十年,1
年了,年了,1
你告,侬告,2
诉了,诉了,1
了我,了我,2
我以,我以,1
以后,以后,1
后我,后我,1
道这,得搿,1
这份,搿份,1
份文,份文,1
文件,文件,1
件有,件有,1
有-,有得,1
-多,得多,1
多-,多少,1
-重,少重,1
重要,重要,1
我-,阿拉,2
-母,拉姆,1
母亲,姆妈,1
亲那,妈搿,1
那时,搿辰,1
时-,辰光,1
-比,光比,1
比我,比我,2
我还,我还,1
还要,还要,1
要年,要年,1
年轻,年轻,2
想和,想跟,1
和一,跟一,1
个喜,个-,1
喜欢,-欢,1
欢-,欢喜,1
-打,喜打,1
打电,打电,1
电动,电动,1
动的,动个,1
的-,个小,1
-女,小姑,1
女孩,姑娘,1
孩结,娘结,1
结婚,结婚,1
以再,以再,1
再给,再拨,1
给我,拨我,1
一点,一点,1
点咖,点咖,1
咖啡,咖啡,1
啡吗,啡伐,1
间太,间太,1
太小,太小,1
小了,小了,1
了容,了-,1
容纳,-装,1
纳不,装勿,1
不下,勿牢,1
下五,牢五,1
五十,五十,1
十-,十个,1
-人,个人,1
中国,中国,1
国是,国是,1
是亚,是亚,1
亚洲,亚洲,1
洲最,洲最,1
最大,最大,2
大的,大个,2
的国,个国,1
国家,国家,1
不用,勿用,1
用怕,用怕,1
怕他,怕伊,1
他不,伊勿,1
会伤,会伤,1
伤害,伤害,1
害你,害侬,1
你的,侬个,2
她-,伊垃,1
在学,海学,1
校参,堂参,1
参加,参加,1
加了,加了,1
了很,了交,1
很多,交关,1
多活,关活,1
活动,活动,1
我星,我礼,1
星期,礼拜,1
期天,拜天,1
天下,天下,1
下-,下半,1
-午,半天,1
午三,天三,1
三时,三点,1
-会,钟会,1
会来,会来,1
来看,来看,1
看你,看侬,2
你收,侬收,1
收拾,收作,1
拾好,作好,1
好东,好物,1
东西,物事,2
西了,事了,1
了没,了-,1
没有,-伐,1
看她,喏伊,1
她来,伊来,1
来了,来了,1
他帮,伊帮,1
我把,我拿,1
把手,拿手,1
表修,表修,1
修理,修理,1
理好,理好,1
好了,好了,1
里要,搭要,1
要小,要当,1
小心,当心,1
心扒,心扒,1
扒手,扒手,1
这桌,搿台,1
桌子,台子,1
子和,子跟,1
和我,跟阿,1
们家,拉屋,1
家-,屋里,1
--,里向,1
-的,向个,1
的一,个一,1
一样,一样,1
样大,样大,1
请你,请侬,2
把你,拿侬,1
的名,个名,1
名字,名字,1
字和,字跟,1
和电,跟电,1
话号,话号,1
号码,号头,1
码告,头告,1
老实,老实,1
实说,实讲,1
说我,讲我,2
我其,我其,1
其实,其实,1
实想,实想,1
想留,想留,1
-不,向勿,1
不想,勿想,1
想出,想出,1
出外,出来,1
外的,来个,1
们可,拉可,1
以继,以继,1
继续,继续,1
续-,续白,1
--,白相,1
-玩,相勿,1
玩别,勿要,1
别吵,要吵,1
吵到,吵到,1
到别,到别,1
别人,别人,1
人就,人就,1
就-,就可,1
-行,可以,1
行了,以了,1
-那,哀个,1
那是,个是,1
么声,啥声,1
声音,声音,1
该去,该去,1
去看,去看,1
看牙,看牙,1
牙医,牙医,1
医把,医拿,1
把牙,拿牙,1
牙拔,牙拔,1
拔掉,拔脱,1
我机,我机,1
机场,机场,1
场怎,场哪,1
么去,能去,1
子里,子里,1
里面,里向,1
面有,向有,1
有多,有多,1
多少,多少,1
少只,少只,1
只猫,只猫,1
-把,脱拿,1
把书,拿书,1
书还,书还,1
还给,还拨,1
给图,拨图,1
图书,图书,1
书馆,书馆,1
那本,箇本,1
本笔,本-,1
笔记,-簿,1
记本,簿子,1
本是,子是,1
-边,要边,1
边吃,边吃,1
吃东,吃物,1
西边,事边,1
边说,边讲,1
说-,讲言,1
-话,言话,2
他很,伊老,1
很少,老少,1
少写,少写,1
写信,写信,1
信给,信拨,1
给他,拨伊,1
的父,个爷,1
父母,爷娘,1
我的,我个,2
的书,个书,2
书-,书垃,2
在哪,海阿,1
哪里,阿里,1
里-,里搭,1
说得,讲了,1
得太,了忒,1
太快,忒快,1
快了,快了,2
我听,我听,1
听不,听勿,1
不懂,勿懂,1
懂你,懂侬,1
以说,以讲,1
说慢,讲慢,1
慢一,慢一,1
一点,一眼,1
点吗,眼伐,1
你相,侬相,1
信也,信也,2
好不,好勿,1
不相,勿相,1
好对,好对,1
对我,对我,1
我来,我来,1
来说,来讲,1
说-,讲呒,1
有什,--,1
么分,啥分,1
分别,分别,1
我做,我做,1
做梦,做梦,1
梦也,梦也,1
有想,-想,1
想过,想到,1
过会,到会,1
会在,会得,1
在-,得垃,1
-这,垃搿,1
这里,搿耷,1
里碰,耷踫,1
碰到,踫着,1
到-,着侬,1
-你,侬个,1
我年,我年,1
轻的,轻个,1
的时,个-,1
常去,常去,1
去打,去打,1
打棒,打棒,1
棒球,棒球,1
开摩,开摩,1
摩托,摩托,1
托车,托车,1
车不,车勿,1
不戴,勿戴,1
戴头,戴头,1
头盔,头盔,1
盔是,盔是,1
是很,是老,1
很危,老危,1
危险,危险,1
险的,险个,1
想-,想垃,1
在爸,海爸,1
爸爸,爸爸,2
爸妈,爸妈,1
妈妈,妈妈,1
妈回,妈回,1
来之,来之,1
前把,前拿,1
把房,拿房,1
子打,子打,1
打扫,打扫,1
扫干,扫干,1
干净,干净,1
有些,有眼,1
些苹,眼苹,1
果从,果从,1
从树,从书,1
树上,书高,1
上-,高头,1
-掉,头落,1
掉了,落了,1
了下,了下,1
们把,拉挪,1
把门,挪门,1
门涂,门涂,1
涂成,涂成,1
成了,成了,1
了绿,了绿,1
绿-,绿颜,1
如果,如果,1
果不,果勿,1
不下,勿落,1
下雨,落雨,1
雨的,雨个,1
的-,个言,1
话你,话侬,1
以去,以去,1
去踏,去踏,1
踏单,踏脚,1
单-,脚踏,1
-车,踏车,1
想买,想买,1
买点,买眼,1
点阿,眼阿,1
阿司,阿司,1
司匹,司匹,1
匹林,匹林,1
-你,侬看,1
你看,看看,1
你吃,侬吃,1
吃得,吃得,1
得-,得来,1
--,来整,1
-满,整个,1
满嘴,个嘴,1
嘴-,嘴巴,1
-都,巴侪,1
是-,是个,1
-了,个了,1
你会,--,2
会说,-侬,2
说义,侬意,1
义大,意大,1
大利,大利,2
利语,利文,1
语-,文讲,2
--,讲得,2
-吗,得来,2
吗-,来伐,2
有棵,有棵,1
棵树,棵树,1
树倒,树倒,1
倒了,倒-,1
了下,-下,1
来把,来了,1
把-,了拿,1
--,拿条,1
-路,条路,1
路堵,路砬,1
堵住,砬断,1
住了,断了,1
他把,伊拿,1
把-,拿本,1
-书,本书,1
书撕,书裁,1
撕烂,裁脱,1
烂了,脱了,1
亲爱,老-,1
爱的,-公,1
的上,公上,1
上床,上床,1
床吧,床啦,1
吧不,啦勿,1
不还,勿来,1
还不,来自,1
不行,自啊,1
行我,啊我,1
我-,我还,1
-在,还要,1
在-,要拉,1
--,拉垃,1
a上,a-,1
上还,--,1
还必,-浪,1
必须,浪-,1
须翻,-翻,1
翻译,翻翻,1
译一,翻几,1
一些,几句,1
些句,句句,1
子-,子哦,1
说英,侬英,1
英语,英文,1
个好,个好,1
好人,好人,1
要忘,要忘,1
记关,记关,1
关火,关火,1
走开,滚蛋,1
你开,侬开,1
开得,开了,1
得太,了太,1
太快,太快,1
我看,我看,2
看电,看电,1
视看,视看,1
看到,看了,1
到厌,了怨,1
厌烦,怨煞,1
烦了,煞了,1
随时,-有,1
时问,有-,1
问任,--,1
任何,--,1
何问,-问,1
题都,题就,1
都可,就问,1
可以,问好,1
以-,好唻,1
雪梨,悉尼,1
梨离,尼离,1
离这,离箇,2
这里,箇墶,2
里很,墶老,2
很远,老远,2
远-,远个,2
我从,我从,1
从来,从来,1
来-,来呒,1
有看,-看,1
看过,看过,1
过他,过伊,1
他穿,伊穿,1
穿牛,穿牛,1
牛仔,牛仔,1
仔裤,仔裤,1
京都,京都,1
都有,都有,1
有许,有老,1
许多,老多,1
多-,多个,1
-神,个神,1
神社,神社,1
那时,我当,1
时-,当辰,1
-我,辰光,1
我不,光勿,1
不知,勿晓,1
道该,得该,1
该怎,该哪,1
么办,能办,1
滚-,滚蛋,1
她的,伊个,1
的母,个母,1
母语,母语,1
语是,语是,1
是法,是法,1
法-,法国,1
--,国闲,1
-语,闲话,1
那个,哀个,1
个-,个垃,1
-正,垃海,1
正在,海-,1
在拉,-拉,1
拉小,拉小,1
小提,小提,1
提琴,提琴,1
琴的,琴个,1
的男,个男,1
每个,-人,1
个人,人人,1
人都,人侪,1
都说,侪讲,1
看-,看上,1
-起,上起,1
起来,起-,1
来像,-像,1
像我,像阿,1
-爸,拉爸,1
在浇,海浇,1
浇花,浇花,1
安静,-静,1
静-,静一,1
--,一点,1
--,点好,1
--,好伐,1
我不,我勿,1
是魔,是魔,1
魔法,魔法,1
法师,法师,1
--,垃海,1
--,海阿,1
你到,侬-,1
到底,--,1
底怎,-哪,1
怎么,哪恁,1
么了,恁勒,1
了啊,勒啦,1
哪本,阿里,1
本-,里簿,1
-书,簿书,1
书是,书是,1
是您,是侬,1
您的,侬额,1
不要,--,1
要玩,--,1
玩钥,-钥,1
钥匙,钥匙,1
匙-,匙孛,1
--,孛相,1
--,相勿,1
--,勿来,1
--,来个,1
这只,-只,1
只老,只老,1
老鼠,老鼠,1
鼠是,鼠-,1
是死,-死,1
死还,死个,1
还是,个还,1
是活,还活,1
活的,活个,1
你们,侬-,2
们好,-哪,1
好吗,哪能,1
你会,侬会,1
说英,讲英,1
英文,英文,1
文吗,文伐,1
谢谢,谢谢,1
谢-,谢侬,1
--,侬噢,1
们学,拉学,1
学习,学习,1
习-,习中,1
-汉,中国,1
汉-,国言,1
-语,言话,2
悉尼,悉尼,2
尼离,尼离,1
尼是,尼是,1
是澳,是澳,1
澳大,澳大,1
利亚,利亚,1
亚最,亚最,1
的城,个城,1
城市,城市,1
世界,世界,2
界-,界哴,2
-上,哴向,2
上有,向有,2
有超,有超,2
超过,超过,2
过八,过八,2
八十,八十,2
十万,十万,2
万的,万个,2
的-,个人,1
--,人讲,1
-巴,讲巴,1
巴斯,巴斯,2
斯克,斯克,2
克语,克言,1
语使,言-,1
使用,-话,1
用者,话-,1
的人,个人,1
人说,人讲,1
说巴,讲巴,1
克-,克言,1
们比,-比,1
我还,我-,1
还高,-高,1
你好,侬好,1
好吗,好伐,1
你们,侬为,1
们怎,为-,1
怎么,-啥,1
么就,啥勿,1
就是,勿-,1
是没,--,1
没相,-相,1
信我,信我,1
我呢,我-,1
他父,伊拉,1
父-,拉爷,1
-母,爷娘,1
母对,娘对,1
对他,对伊,1
他怀,伊期,1
怀有,期望,1
有过,望过,1
过高,过高,1
高的,高-,1
的期,--,1
期望,--,1
别倚,覅隑,1
倚着,隑了,1
着墙,了墙,1
墙-,墙头,1
--,头浪,1
