,wuu,wen,count
90,搿,居个,1
91,搿搭,居宕哩,1
92,老,会,1
93,脱懂得,了会,1
94,懂得,会,1
95,得,啊,1
96,伊要花,他着,1
97,钟头才好挪,小时,1
98,光,好,1
99,老,真,1
100,拉垃,缩,1
101,交关交关,多显多个,1
102,但是,可惜,1
103,事体要,着,1
104,等,匄,1
105,快,罢,1
106,点,厘了,1
107,榔,铰剪石,1
108,剪刀纸头,布,1
109,要帮侬,着伉你,1
110,会了,见爻,1
111,个,爻,1
112,桩,件,1
113,体要跟侬,个伉你,1
114,搿搭附近,居宕边埏,1
115,了可怜,显少,1
116,今朝要留拉,该日着缩,1
117,向,啊,1
118,告诉,伉,1
119,错拉阿里搭𠲎,狃宕赚爻罢,1
120,啥个,何乜,1
121,哪能,訾那,1
122,得伊,识渠,1
123,路个辰光常常拿,能届沃清清能逮,1
124,袋,兜,1
125,了,爻罢,2
126,侬帮,你逮,1
127,灯,一开,1
128,色,灯,1
129,前,早,1
130,房子被,屋宕匄渠,1
131,脱了,爻罢,1
132,女小人,奶儿娒,1
133,小人,儿娒,1
134,早浪向侪,光沃,1
135,喝,呷,1
136,垃海搿搭,缩居宕,1
137,侬告诉了,你伉,1
138,有得多少,恁,1
139,搿辰光,许能届,1
140,拉姆,我,1
141,跟,伉,2
142,小姑娘,女个,1
143,喜,喜,1
144,拨,匄,1
145,点,厘,1
146,太,忒,1
147,了装勿牢,爻坐否入,1
148,家,个,1
149,勿用怕伊勿,覅吓渠不,1
150,伊垃海,渠缩,1
151,了交关,爻多显多个,1
152,礼拜天下,星期日后,1
153,看侬,眙你,1
154,钟,走,1
155,侬收作好,你,1
156,了𠲎,理好罢啊未,1
157,喏伊,眙渠走,1
158,了,罢,2
159,拿,逮,2
160,搿搭要当,居宕着留,1
161,扒手,贼,1
162,搿台子跟阿拉,居张桌伉卬你,1
163,侬拿侬,你逮你,1
164,头告诉,码伉,1
165,讲,话,1
166,向勿,个否,1
167,拉,讲,1
168,来个,走,1
169,继续白相勿要,接下嬉覅,1
170,到,着,1
171,可以了,用着,1
172,是啥,何乜,1
173,去看,走眙,1
174,侬告诉,你伉,1
175,哪能去,訾那走,1
176,搿房子,居个屋,1
177,多少,几厘,1
178,向,儿,1
179,脱拿,爻逮,1
180,还拨,匄,1
181,箇,许,1
182,簿子,笔记本,1
183,勿要,覅,1
184,伊老,渠很,1
185,拨伊个爷娘,匄渠爸妈,1
186,垃海阿里搭,是狃宕啊,2
187,了,爻,2
188,勿,否,4
189,眼,厘,2
190,来讲呒没啥分,冇何乜区,1
191,得垃搿耷踫,缩居宕碰,1
192,侬个,你,1
193,呒没,否,1
194,个辰光常常去,能届清清能走,1
195,个,显危险,1
196,妈回,走,1
197,拿房子,逮屋里,1
198,干净,光生,1
199,从书高头,缩树上遁,1
200,了下来,爻罢,1
201,阿拉挪,卬你逮,1
202,颜色,个爻,1
203,如果勿落,当当能否下,1
204,个言话侬,你,1
205,去,踏,1
206,踏,走去,1
207,眼,厘儿,1
208,侬看看侬,你眙你,1
209,得来整个,起满,1
210,巴侪,上沃,1
211,侬意,你会讲义,1
212,文讲得来,话啊,1
213,棵,座,1
214,来了拿条,逮,1
215,砬断了,塞爻罢,1
216,伊拿本,渠逮,1
217,裁脱了,剫爻罢,1
218,老公上,亲爱得走,1
219,啦勿来自啊,里呐未还未呐,1
220,还要拉垃,缩,1
221,浪翻翻几句,上还有厘,1
222,哦,着翻译,1
223,侬,你会讲,1
224,文讲得来,语啊,1
225,火,爻,1
226,滚蛋,走开来,1
227,了太,忒,1
228,看了怨煞了,眙烦起爻罢,1
229,有,随便若能届问何乜,1
230,就问好唻,沃可以,1
231,悉尼离箇墶老,雪梨伉居宕,1
232,个,显远,1
233,呒没看,冇眙,1
234,伊穿,渠著,1
235,个,显多,1
236,当辰光勿,许能届否,1
237,该哪,訾那,1
238,办,妆,1
239,蛋,远哩,1
240,国闲话,语,1
241,哀个垃海,恰是搭,1
242,人侪,沃,1
243,看上起,眙着伉我爸相,1
244,阿拉爸爸,每个,1
245,垃海,是得,1
246,一点好𠲎,安,1
247,侬哪恁勒啦,你到底訾那爻,1
248,阿里簿,若本,1
249,侬额,你个,1
250,钥,覅狡锁,1
251,侬哪能,你厘好啊𠲎,1
252,文,语啊,1
253,中国言话,汉语,1
254,离箇墶老,伉居宕死人,1
255,哴向,上,2
256,讲,用,1
257,侬,你厘,1
258,侬为啥勿,你厘訾那就冇,1
259,伊拉爷娘,渠个爸妈,1
260,过,忒,1
261,隑了,靠,1
262,头浪,上赖,1
